original,OriginalSign,OriginalPhraseImageCount,AIcurated,AIcuratedSign,AIcuratedPhraseImageCount,HumanCurated,HumanCuratedSign,HumanCuratedPhraseImageCount
graphs are simple,(-),1,uninterpretable ranking,(+),1.0,,,
graphs jumbled up,(+),1,unique,(+),1.0,,,
green,(+),1,unique data point,(+),1.0,,,
grid,(+),1,unique/varied colors,(+),3.0,,,
grid of squares,(-),1,unknown details,(+),1.0,,,
growth pattern,(+),1,unknown hidden content,(+),1.0,,,
half-shading,(+),1,unknown highlighted countries,(+),1.0,,,
hard time gleaning what it convey,(+),1,unknown patterns,(+),1.0,,,
hard to ascertain,(+),1,unreadable,(+),3.0,,,
hard to differentiate,(+),2,unrecognized brands,(+),1.0,,,
hard to discern,(+),1,unseen numbers,(+),1.0,,,
hard to discern individual items.,(+),1,unsure pattern,(+),1.0,,,
hard to distinguish the colors,(+),1,unsure where to start,(+),1.0,,,
hard to extract info,(+),1,use of color,(+) (-),3.0,,,
hard to intuitively ascertain,(+),1,vague legend,(+),1.0,,,
hard to make out what it means,(+),1,value representation,(+),1.0,,,
hard to make sense,(+),1,values and graphics aligned,(+),1.0,,,
hard to read,(+),2,values encoded by color,(+),1.0,,,
hard to see story,(+),1,values in the middle,(+),1.0,,,
hard to solve,(+),1,variety of data,(+),1.0,,,
hard to tell,(+),1,variety of shapes,(+),2.0,,,
hard to understand,(+),5,various circle sizes,(+),3.0,,,
harder for my eyes to focus,(+),1,various colors,(+),1.0,,,
harder to compare,(+),1,various data points,(+),1.0,,,
harder to decipher,(+),1,various shapes,(+) (-),5.0,,,
harder to discern,(+),1,very detailed,(+),1.0,,,
harder to discern information,(+),1,very different colors,(+),1.0,,,
harder to distinguish,(+),1,very little data,(+) (-),8.0,,,
harder to follow the sense of the graphic,(+),1,very little detail,(+),1.0,,,
harder to read,(+),3,visual clarity,(+),1.0,,,
harder to read and differentiate,(+),1,visual cues,(+),1.0,,,
harder to read and discern,(+),1,visualization meaning,(+),1.0,,,
harder to read and understand,(+),1,visually appealing,(-),3.0,,,
harder to see,(+),1,visually clean,(-),1.0,,,
harder to understand,(-),4,visually overwhelming,(+),1.0,,,
has text,(+),1,visually striking,(+),1.0,,,
has text.,(+),1,weather map,(-),1.0,,,
have more data,(+),1,weird coloring,(+),1.0,,,
heat graph,(+),1,what it resembles,(+),1.0,,,
heat map,(-),1,white background,(+),2.0,,,
heatmap,(-),1,white color,(+),1.0,,,
hierarchical text,(+),1,wind map,(-),1.0,,,
high amount of data,(+),1,word,(+),2.0,,,
high information density,(+),1,word frequency,(-),2.0,,,
high school education,(-),1,word rotation,(+),1.0,,,
histogram like figure,(-),1,word size,(+) (-),2.0,,,
holisitic understanding or comprehension more available,(-),1,word sizes,(-),1.0,,,
horizontal lines,(+),1,word source,(-),1.0,,,
how busy the charts were,(+),1,words,(+) (-),7.0,,,
how hard it was to quickly understand,(+),1,words and numbers,(-),1.0,,,
how many type of entities they were,(+),1,words and sentences,(+),1.0,,,
how objects spread,(-),2,words difficult to see,(+),1.0,,,
how organised/disorganised was the picture,(+),1,words misoriented,(+),1.0,,,
how that changed over one year,(+),1,written information,(+),1.0,,,
hurt my eyes,(+),1,x-axis unlabeled,(+),1.0,,,
hurts my vision,(+),1,x-position,(+),1.0,,,
i am not sure I would have selected same image,(+),1,y-axis meaning unclear,(+),1.0,,,
i couldnt say what is complexer,(+),2,y-position,(+),1.0,,,
icons,(+),1,yellow,(+),1.0,,,
illogical,(-),1,,,,,,
illusion of a negative space,(+),1,,,,,,
illusion of depth or 3d,(+),1,,,,,,
image is simple,(-),1,,,,,,
image is too tiny,(+),1,,,,,,
image layout,(+),1,,,,,,
image legend,(-),1,,,,,,
images about black holes,(+),1,,,,,,
images difficult to make sense of,(+),1,,,,,,
immediately recognizable,(-),2,,,,,,
impossible to interpret,(+),1,,,,,,
in terms of shapes,(+),1,,,,,,
incredibly simple,(-),1,,,,,,
indications,(-),1,,,,,,
ineligible,(+),1,,,,,,
information and nuance transported,(+),1,,,,,,
information depicted more granularly,(+),1,,,,,,
information in a small space,(+),1,,,,,,
information in technical way,(+),1,,,,,,
information over a number of years,(+),1,,,,,,
information points,(+),1,,,,,,
information presenting,(+),1,,,,,,
inscription with details,(+),1,,,,,,
"integration of text, numbers, and visuals all being used to convey information",(+),2,,,,,,
interconnecting lines,(+),1,,,,,,
interpreted in less than a second,(-),1,,,,,,
intersecting lines,(+),2,,,,,,
intersection of lines,(+),1,,,,,,
intersections in the Circle,(+),1,,,,,,
intuitive understanding of graph,(-),1,,,,,,
involves numbers,(+),1,,,,,,
is blank,(-),1,,,,,,
is not clear,(+),1,,,,,,
isn't any numbers,(+),1,,,,,,
isolated squares,(+),1,,,,,,
it is clearer what I can learn,(-),1,,,,,,
it took longer to understand,(+),1,,,,,,
it would be hard to connect this,(+),1,,,,,,
its easier,(-),1,,,,,,
jumble of dots and colors,(+),1,,,,,,
jumped out to me as instantly making it more complex.,(+),1,,,,,,
just a few lines,(-),1,,,,,,
just a glance everything is summarized,(-),1,,,,,,
just patterns,(-),1,,,,,,
just text,(-),1,,,,,,
key in the image,(+),1,,,,,,
key on the top,(+),1,,,,,,
kid drawing,(+),1,,,,,,
labels,(-),6,,,,,,
labels are clear,(-),2,,,,,,
labels are clear and easy to read,(-),1,,,,,,
"labels, titles, and annotations",(+),1,,,,,,
"labels, titles, and annotations are excessively crowded or overlapping",(+),1,,,,,,
lack of a grid,(+),1,,,,,,
lack of color diversity,(+),1,,,,,,
lack of describing information,(+),1,,,,,,
lack of legends,(+),1,,,,,,
lack of text,(+),1,,,,,,
lacks a clear form or structure,(+),1,,,,,,
lacks clarity,(+),1,,,,,,
lacks context,(+),1,,,,,,
lacks contrast between blue colors,(+),1,,,,,,
large amount of textual data,(+),2,,,,,,
large key,(+),1,,,,,,
layered,(-),1,,,,,,
layers of shapes/details,(+),1,,,,,,
layout of the grid,(+),1,,,,,,
layout of the image,(+),2,,,,,,
left one is a mess,(+),1,,,,,,
legend,(+),7,,,,,,
legend adds complexity,(+),1,,,,,,
legend far more vague,(+),1,,,,,,
less accessible and comprehensible,(+),1,,,,,,
less blank space,(+),1,,,,,,
less clear at a glance,(+),1,,,,,,
less clear information,(+),1,,,,,,
less color,(+),1,,,,,,
less colors,(+),1,,,,,,
less complex to me,(-),1,,,,,,
less details,(-),1,,,,,,
less elements,(-),1,,,,,,
less information,(-),1,,,,,,
less information (elements),(-),1,,,,,,
less information to process,(-),1,,,,,,
less intuitive,(+),1,,,,,,
less organization of elements,(+),1,,,,,,
less simple,(+),1,,,,,,
less straightforward,(+),1,,,,,,
less structure,(+),1,,,,,,
less text,(+),1,,,,,,
less time consuming,(-),1,,,,,,
less uniform shapes,(+),1,,,,,,
less visual items,(-),1,,,,,,
less visually appealing,(+),1,,,,,,
less white,(+),1,,,,,,
less white space,(+),1,,,,,,
less writing,(+),1,,,,,,
level of contrast.,(+),1,,,,,,
light and dark,(+),1,,,,,,
like a water fall,(+),1,,,,,,
like the colors,(-),1,,,,,,
limited number of data,(-),1,,,,,,
line and scale,(+),1,,,,,,
line and shape,(+),1,,,,,,
line graph,(+),2,,,,,,
lineages,(+),1,,,,,,
lines,(+),11,,,,,,
lines cannot be distinguished,(+),1,,,,,,
lines crossing,(+),1,,,,,,
lines do not make sense,(+),1,,,,,,
lines going in different directiopns and amounts,(+),1,,,,,,
lines not straightforward,(+),1,,,,,,
lines of scale,(+),1,,,,,,
lines of text,(-),1,,,,,,
link,(-),1,,,,,,
little information,(+),1,,,,,,
little more time to understand,(+),1,,,,,,
little to no numbers,(+),1,,,,,,
little to no shade variation,(-),1,,,,,,
location within the image,(+),1,,,,,,
logical to read,(-),1,,,,,,
"longer time to read, process and understand",(+),1,,,,,,
longer to interpret,(+),1,,,,,,
longer to process,(+),1,,,,,,
longer to understand and go through,(+),1,,,,,,
longitudinal graph,(+),1,,,,,,
look cool,(-),1,,,,,,
look easier to understand,(-),1,,,,,,
look less important,(-),1,,,,,,
looked confusing,(+),1,,,,,,
looks messy and confusing,(+),1,,,,,,
looks random,(+),1,,,,,,
lot of details,(+),1,,,,,,
lot of words,(+),1,,,,,,
lot of words and letters,(+),1,,,,,,
lotd of words,(+),1,,,,,,
lots of colors,(+),3,,,,,,
lots of colors close together,(+),1,,,,,,
lots of details,(+),1,,,,,,
lots of information,(+),2,,,,,,
lots of meeting points,(+),1,,,,,,
lots of numbers,(+),1,,,,,,
lots of overlapping lines,(+),1,,,,,,
lots of regions,(+),1,,,,,,
lots of separate charts,(+),1,,,,,,
lots of text,(+),1,,,,,,
lots of words,(+),1,,,,,,
low readability,(+),1,,,,,,
made less sense,(+),1,,,,,,
made me confused,(+),1,,,,,,
make it more complex than a 2d projection,(+),1,,,,,,
make sense.,,1,,,,,,
makes it harder to evaluate,(+),1,,,,,,
makes it harder to look at the data points,(+),1,,,,,,
makes me confused,(+),1,,,,,,
making accurate interpretation challenging,(+),1,,,,,,
many categories in the legend,(+),1,,,,,,
many circles,(+),1,,,,,,
many colors,(+),1,,,,,,
many data points,(+),2,,,,,,
many different colors,(+),1,,,,,,
many different elements,(+),1,,,,,,
many elements,(+),3,,,,,,
many elements intermingled,(+),1,,,,,,
many graphs side by side,(+),1,,,,,,
many individual dots,(+),1,,,,,,
many lines,(+),2,,,,,,
many more different visual components,(+),1,,,,,,
many numbers,(+),1,,,,,,
many points,(+),1,,,,,,
many shapes,(+),1,,,,,,
many small details,(+),1,,,,,,
many small writings,(+),1,,,,,,
many text boxes,(+),1,,,,,,
many writings,(+),1,,,,,,
map,(-),7,,,,,,
map graph,(+),1,,,,,,
map is familiar,(-),1,,,,,,
map of Africa,(-),1,,,,,,
map of continents,(+),1,,,,,,
maps,(-),1,,,,,,
matrix patterns,(-),1,,,,,,
meaning of the code,(+),1,,,,,,
meaningless,(+),2,,,,,,
meanings of color not well defined.,(+),1,,,,,,
measure,(+),1,,,,,,
measuring an earthquake,(-),1,,,,,,
mentally taxing,(+),1,,,,,,
messiness of the graph,(+),1,,,,,,
messy,(+),2,,,,,,
metric it represents,(+),1,,,,,,
misunderstanding of shapes,(+),2,,,,,,
mix of color,(+),1,,,,,,
mix several colors,(+),2,,,,,,
mixed the bar on the top is imposing,(+),2,,,,,,
mixed up,(+),1,,,,,,
mixed with a timeline,(+),1,,,,,,
monochrome,(-),1,,,,,,
monochrome color,(+),1,,,,,,
more areas,(+),1,,,,,,
more axes,(+),1,,,,,,
more bars,(+),1,,,,,,
more busy,(+),1,,,,,,
more capable of being understood,(-),1,,,,,,
more cluttered,(+),1,,,,,,
more color,(+),4,,,,,,
more colors,(+),20,,,,,,
more colours,(+),1,,,,,,
more complex shape,(+),1,,,,,,
more complex to interpret,(+),1,,,,,,
more complex to understand,(+),1,,,,,,
more complicated,(+),1,,,,,,
more confusing colors,(+),1,,,,,,
more context,(-),1,,,,,,
more contrast,(+),2,,,,,,
more data,(+),4,,,,,,
more data points,(+),2,,,,,,
more data to comprehend,(+),1,,,,,,
more detail,(+),2,,,,,,
more detailed,(-),1,,,,,,
more detailed graphics,(+),1,,,,,,
more details,(+),6,,,,,,
more difficult,(+),2,,,,,,
more difficult to capture,(+),1,,,,,,
more difficult to follow the lines,(+),1,,,,,,
more difficult to interpret,(+),1,,,,,,
more difficult to read,(+),1,,,,,,
more difficult to understand,(+),3,,,,,,
more difficulty reading,(+),1,,,,,,
more dificult to understand,(+),1,,,,,,
more dots,(+),1,,,,,,
more easily understood,(-),1,,,,,,
more elements,(+),2,,,,,,
more elements of information,(+),1,,,,,,
more evenly distributed,(-),1,,,,,,
more everything,(+),1,,,,,,
more factors to consider,(+),2,,,,,,
more fine detail,(+),1,,,,,,
more forms,(+),1,,,,,,
more full of stuff,(+),1,,,,,,
more going on,(+),3,,,,,,
more graphic,(+),1,,,,,,
more groups,(+),1,,,,,,
more images,(+),1,,,,,,
more impact,(-),1,,,,,,
more in order,(-),1,,,,,,
more info,(+),1,,,,,,
more information,(+),11,,,,,,
more information about data,(-),1,,,,,,
more information labeled,(+),1,,,,,,
more information shown,(+),1,,,,,,
more information to process,(+),2,,,,,,
more information to think about,(+),1,,,,,,
more informations,(+),1,,,,,,
more ink on the page,(+),1,,,,,,
more intricate,(+),1,,,,,,
more items,(+),2,,,,,,
more labels,(-),1,,,,,,
more legible,(+),1,,,,,,
more like a graphic,(-),1,,,,,,
more like a picture,(+),1,,,,,,
more lines,(+),3,,,,,,
more links,(+),1,,,,,,
more messy,(+),1,,,,,,
more numbers,(+),1,,,,,,
more objects,(+),1,,,,,,
more organized,(+),1,,,,,,
more packed with information,(+),1,,,,,,
more physical content,(+),1,,,,,,
more pixels,(+),1,,,,,,
more pleasant,(-),1,,,,,,
more pleasing,(-),1,,,,,,
more points,(+),1,,,,,,
more scattered,(+),1,,,,,,
more shapes,(+),1,,,,,,
more shapes of different size,(+),1,,,,,,
more squares than dots,(+),1,,,,,,
more statistics,(+),2,,,,,,
more text,(+),3,,,,,,
more time to understand,(+),4,,,,,,
more to look at and analyse,(+),1,,,,,,
more to understand,(+),1,,,,,,
more types of info,(+),1,,,,,,
more types of information,(+),1,,,,,,
more uniform design,(-),1,,,,,,
more unique colors,(+),1,,,,,,
more unique contrasts,(+),1,,,,,,
more variability,(+),1,,,,,,
more variables,(+),4,,,,,,
more variation,(+),1,,,,,,
more variation in shapes,(+),1,,,,,,
more variety of colors,(+),1,,,,,,
more words,(+),4,,,,,,
more writing,(+),2,,,,,,
mostly focused on about 1/3 of the image,(-),1,,,,,,
much easier,(-),1,,,,,,
much easier to figure out,(-),1,,,,,,
much less clear,(+),1,,,,,,
much more detailed,(+),1,,,,,,
much more information,(+),1,,,,,,
multicolored,(+),1,,,,,,
multipe areas of interests,(+),1,,,,,,
multiple axes,(+),1,,,,,,
multiple colors,(+),1,,,,,,
multiple components,(+),1,,,,,,
multiple copies,(-),1,,,,,,
multiple data points,(+),1,,,,,,
multiple elements interacting with each other,(+),1,,,,,,
multiple features,(+),1,,,,,,
multiple figures,(+),2,,,,,,
multiple graphics,(+),1,,,,,,
multiple shades of blue,(+),1,,,,,,
multiple shapes,(+),1,,,,,,
multiple trends to compare to each other,(+),1,,,,,,
multitude of differing information,(+),1,,,,,,
multitude of paths or routes between different points,(+),1,,,,,,
multivariate,(+),1,,,,,,
muted colors,(+),1,,,,,,
names,(+),1,,,,,,
names of the countriesr,(-),1,,,,,,
names too small to read,(+),1,,,,,,
nature of this info,(+),1,,,,,,
necessary context,(-),1,,,,,,
need detailed analysis,(+),1,,,,,,
need focus to understand,(+),1,,,,,,
need more time to realize,(+),1,,,,,,
need more time to understand,(+),1,,,,,,
need of focus,(+),1,,,,,,
need to read 15 figures separately,(+),1,,,,,,
needed interpretation,(+),1,,,,,,
needs a lot of reading,(+),1,,,,,,
needs more efffort,(+),1,,,,,,
needs to be studied more intently to make sense of,(+),1,,,,,,
needs to be understood,(+),1,,,,,,
network,(+),2,,,,,,
never seen visualization,(+),1,,,,,,
nice and readable,(-),1,,,,,,
no apparent directional flow for the arrows,(+),1,,,,,,
no axes,(+),1,,,,,,
no clear indication about what is going on,(+),1,,,,,,
no clear scheme,(+),1,,,,,,
no clue on what it is about,(+),1,,,,,,
no clue what it meant,(+),1,,,,,,
no color difference,(+),1,,,,,,
no color guide,(+),1,,,,,,
no context,(+) (-),3,,,,,,
no data,(+),1,,,,,,
no description,(+),1,,,,,,
no detail,(+),2,,,,,,
no details,(+),1,,,,,,
no difference between scales,(+),1,,,,,,
no discernible patterns,(+),1,,,,,,
no easy distinction between colors,(+),1,,,,,,
no font,(+),1,,,,,,
no idea the subjetc,(+),1,,,,,,
no idea what Image is,(+),1,,,,,,
no idea what it represents,(+),1,,,,,,
no idea what it's supposed to mean,(+),1,,,,,,
no idea what the colors represent,(-),1,,,,,,
no idea what this is,(+),1,,,,,,
no information about the squares,(+),1,,,,,,
no key for the data,(+),1,,,,,,
no legend,(+),1,,,,,,
no legends,(+),2,,,,,,
no metrics,(+),1,,,,,,
no more than three colors,(-),1,,,,,,
no one knows whats hidden,(+),1,,,,,,
no or few data,(+),2,,,,,,
no order,(+),1,,,,,,
no pattern,(+),1,,,,,,
no text,(+),1,,,,,,
no title,(+),1,,,,,,
no titles,(+),1,,,,,,
no way of knowing what it is showing me,(-),1,,,,,,
no way to tell exact points for the numbers,(+),1,,,,,,
no written information,(+),1,,,,,,
nodes,(-),1,,,,,,
noisy,(+),1,,,,,,
non familiar layout,(+),1,,,,,,
none,(-),1,,,,,,
nonlinearity,(+),1,,,,,,
not a linear pattern.,(+),1,,,,,,
not a lot of color,(+),1,,,,,,
not a lot of contrast,(+),1,,,,,,
not as clear,(+),1,,,,,,
not as cluttered,(-),1,,,,,,
not as simple color wise,(+),1,,,,,,
not as sure on this one,(+),1,,,,,,
not as understandable,(+),1,,,,,,
not clear,(+),1,,,,,,
not clear what they mean,(+),1,,,,,,
not clearly stated,(+),1,,,,,,
not common sense,(+),1,,,,,,
not consistent,(+),1,,,,,,
not difficult to see at all,(-),1,,,,,,
not easily decipherable,(+),1,,,,,,
not easily understood,(+),1,,,,,,
not enough color.,(+),1,,,,,,
not familiar,(+),2,,,,,,
not familiar with,(+),2,,,,,,
not familiar with the world map,(+),1,,,,,,
not familiar with this graphic design,(+),1,,,,,,
not familiarized with,(+),1,,,,,,
not intuitive,(+),1,,,,,,
not much interaction,(-),1,,,,,,
not much is going in there,(-),1,,,,,,
not recognizable,(+),1,,,,,,
not simple color wise,(+),1,,,,,,
not simple data,(+),1,,,,,,
not something similar.,(+),1,,,,,,
not straight to the point,(+),1,,,,,,
not sure,(+),1,,,,,,
not sure what color stands for,(+),1,,,,,,
not sure what it is used for,(-),1,,,,,,
not sure what it means,(-),1,,,,,,
not sure what it's talking about,(+),1,,,,,,
not sure what the circles are representing,(+),1,,,,,,
not tidy,(+),1,,,,,,
nothing is clear,(+),3,,,,,,
nothing is understood.,(+),1,,,,,,
nothing visible,(+),1,,,,,,
novel pattern,(+),1,,,,,,
number of colors,(-),4,,,,,,
number of details,(-),2,,,,,,
number of different graphic elements,(+),1,,,,,,
number of dots,(+),1,,,,,,
number of entries very high.,(+),1,,,,,,
number of information,(+),2,,,,,,
number of items on the legend,(-),2,,,,,,
number of levels,(+),1,,,,,,
number of points / shapes,(+),1,,,,,,
number of points/shapes,(-),1,,,,,,
number of shapes,(+) (-),4,,,,,,
number of shapes/details presented,(+),1,,,,,,
number of things in the same area,(+),1,,,,,,
numbers,(+),4,,,,,,
numbers and legend,(+),1,,,,,,
numbers do not make sense,(+),3,,,,,,
numbers have no meaning,(+),1,,,,,,
numbers in the axis,(-),1,,,,,,
numbers more complex than dot,(+),1,,,,,,
numbers never seen before,(+),1,,,,,,
numbers of unique shapes/colors,(+),1,,,,,,
numbers on entities,(+),1,,,,,,
"numbers, sticks and boxes",(+),1,,,,,,
numerical details,(-),1,,,,,,
numerical values,(+),1,,,,,,
numerous intersections,(+),1,,,,,,
objects spread over,(+),1,,,,,,
on the same axis,(-),1,,,,,,
one font only,(-),1,,,,,,
one more bit of info,(-),1,,,,,,
one shape,(-),1,,,,,,
one variable,(-),1,,,,,,
only has 2,(-),1,,,,,,
only has 4 data points,(-),1,,,,,,
only has black,(-),1,,,,,,
only has dots,(-),1,,,,,,
only has two colors,(-),1,,,,,,
only one color,(+),1,,,,,,
only one thing to visually process,(-),1,,,,,,
only two main colors,(-),1,,,,,,
orange complex,(+),1,,,,,,
orange shapes,(+),1,,,,,,
ordered,(-),1,,,,,,
organized,(+),1,,,,,,
organized in a table,(-),1,,,,,,
oval-shaped,(-),1,,,,,,
overall pleasing pattern,(-),1,,,,,,
overall shape,(+),1,,,,,,
overlap of circle areas,(+),1,,,,,,
overlap of different colors,(+),1,,,,,,
overlapping colors,(+),1,,,,,,
overlapping data points,(+),1,,,,,,
overlapping features,(+),1,,,,,,
overlapping lines,(+),2,,,,,,
overlapping volume graphs,(+),1,,,,,,
overly colorful,(+),1,,,,,,
"paths overlap, intersect, diverge, creating a visually intricate network",(+),1,,,,,,
pattern,(+),3,,,,,,
pellet looking things look like money,(+),1,,,,,,
phylogenetic tree,(+),1,,,,,,
physical dimension,(+),1,,,,,,
picture of numbers,(-),1,,,,,,
picture of pacific ocean,(-),1,,,,,,
picture of world,(+),1,,,,,,
pie chart,(-),1,,,,,,
pie chart.,(+),1,,,,,,
plots,(+),1,,,,,,
point position,(+),1,,,,,,
points of increase and decrease,(+),1,,,,,,
points of interest,(+),1,,,,,,
poorly contrasting colors,(+),1,,,,,,
position,(+),1,,,,,,
precise naming,(-),1,,,,,,
"preciseness of the lines (thickness, intensity)",(+),1,,,,,,
preciseness of various aspects,(+),1,,,,,,
pretty self-explanatory,(-),1,,,,,,
programming,(+),1,,,,,,
provokes thought and understanding,(+),1,,,,,,
quantitative relation,(+),1,,,,,,
quantity,(+),1,,,,,,
quicker/easier to process,(-),1,,,,,,
quite difficult for me,(+),1,,,,,,
random collection of circles,(+),1,,,,,,
random colors,(-),1,,,,,,
random like movement of datapoints,(+),1,,,,,,
random like shapes,(+),1,,,,,,
random names that don't make sense,(+),1,,,,,,
random places,(-),1,,,,,,
random shape,(-),1,,,,,,
range and contrast of colors,(-),1,,,,,,
range of colors,(+),1,,,,,,
ranking system beyond understanding,(+),1,,,,,,
ranking things,(-),1,,,,,,
read every item to understand,(+),1,,,,,,
readability,(+),4,,,,,,
reading data more difficult,(+),1,,,,,,
really complex for me,(+),1,,,,,,
receeding horizon point,(+),1,,,,,,
recognized the map,(-),1,,,,,,
red colors,(+),1,,,,,,
red is a harsh color,(+),1,,,,,,
reduces the effort to comprehend,(-),1,,,,,,
regions,(+),1,,,,,,
relationships,(-),1,,,,,,
require careful examination and interpretation,(+),1,,,,,,
require specialized education to understand.,(+),1,,,,,,
requires concentration,(+),1,,,,,,
requires more interpretation,(+),1,,,,,,
requires more understanding,(+),1,,,,,,
requires reading,(+),1,,,,,,
rotation of words,(+),1,,,,,,
round tables,(-),1,,,,,,
same color,(+),1,,,,,,
saw it multiple times,(-),1,,,,,,
scale,(-),1,,,,,,
scatter plots,(+),1,,,,,,
scientific method,(+),1,,,,,,
search for any correlation and significance in the available data.,(+),1,,,,,,
seemed more complicated,(+),1,,,,,,
seems cluttered,(+),1,,,,,,
segmentation of colors,(+),1,,,,,,
seismic graph,(-),2,,,,,,
self explanatory,(-),1,,,,,,
separate color scale,(+),1,,,,,,
separating value by colors,(+),1,,,,,,
set of geometry,,1,,,,,,
several aspects of the information can be interrelated,(+),1,,,,,,
several elements,(+),1,,,,,,
several measurements,(+),1,,,,,,
several more colors,(+),1,,,,,,
shades of color change,(+),1,,,,,,
shape,(+),3,,,,,,
shape hard to read,(+),1,,,,,,
shape is hard to read,(+),1,,,,,,
shape varation,(+),1,,,,,,
shapes,(+),6,,,,,,
shapes and contrasts,(+),2,,,,,,
shapes and lines,(+),1,,,,,,
shapes categorized in a certain way,(+),1,,,,,,
shapes more complex,(+),1,,,,,,
shapes quite similar,(+),1,,,,,,
shapes representing data subsets,(+),1,,,,,,
shapes were varied,(+),1,,,,,,
short cryptic labels,(+),1,,,,,,
showing information in text,(+),1,,,,,,
shows crop each country/region produces,(+),1,,,,,,
significant difference in scale,(+),1,,,,,,
signs,(+),1,,,,,,
similar colors,(+),2,,,,,,
similar looking colors,(+),1,,,,,,
similar size of the boxes,(+),1,,,,,,
similarity of the colors,(+),1,,,,,,
simple,(-),2,,,,,,
simple bar graph,(-),1,,,,,,
simple bar to indicate measurement,(-),1,,,,,,
simple information,(-),1,,,,,,
simple map,(-),1,,,,,,
simple structure,(-),1,,,,,,
simple to digest,(-),1,,,,,,
simple to grasp the ideas,(-),1,,,,,,
simple to understand,(-),2,,,,,,
simplicity,(-),3,,,,,,
simplistic,(-),1,,,,,,
single-color scheme,(+),1,,,,,,
size,(+),1,,,,,,
size growing small,(-),2,,,,,,
size of circles,(+),1,,,,,,
size of shapes,(+),1,,,,,,
size of the graphics,(+),1,,,,,,
size variations,(+),1,,,,,,
"size, length, points",(+),1,,,,,,
sizes of the shape (circle),(+),1,,,,,,
sizes of words,(-),1,,,,,,
small and sparse dots,(+),1,,,,,,
small box indicators,(+),2,,,,,,
small details,(+),1,,,,,,
small font,(+),1,,,,,,
small font in the description,(+),1,,,,,,
small fonts,(+),1,,,,,,
small text,(+),1,,,,,,
small writing,(+),1,,,,,,
small writing and labels,(+),1,,,,,,
smaller,(+),1,,,,,,
smaller details,(+),1,,,,,,
smaller icons,(+),1,,,,,,
so many cube,(+),1,,,,,,
so more things,(+),1,,,,,,
softer,(-),1,,,,,,
some kind of pattern,(-),1,,,,,,
some text,(+),1,,,,,,
some values in the middle,(+),2,,,,,,
something in biology,(+),1,,,,,,
something to process,(+),1,,,,,,
spatial organization,(+),1,,,,,,
sports team,(-),1,,,,,,
spots of different shapes,(+),1,,,,,,
spread around,(+),1,,,,,,
squares,(+),1,,,,,,
squares scattered all over,(+),1,,,,,,
squares scattered all over.,(+),1,,,,,,
squeezed writings,(+),1,,,,,,
squint my eyes to understand,(+),1,,,,,,
stages of a process,(+),1,,,,,,
stared to understand,(-),1,,,,,,
state graph,(-),1,,,,,,
stimulus less visible/discernible,(+),1,,,,,,
straight line,(-),1,,,,,,
straight lines,(-),2,,,,,,
straight to the point,(-),1,,,,,,
straightforward,(-),1,,,,,,
straightforward at showing where things are.,(-),1,,,,,,
straightforward lines,(-),1,,,,,,
strange,(+),1,,,,,,
stretched out differently,(-),1,,,,,,
striped,(-),1,,,,,,
structure of the letters,(+),1,,,,,,
structured,(+),1,,,,,,
structured and labeled,(-),1,,,,,,
stuff all over the place,(+),1,,,,,,
symbol and shading,(+),1,,,,,,
symbols,(-),1,,,,,,
symbols more easily recognizable,(-),1,,,,,,
take a lot more time to understand,(+),1,,,,,,
take longer to assimulate,(+),1,,,,,,
take longer to decode,(+),1,,,,,,
take longer to understand,(+),1,,,,,,
take more time to understand,(+),1,,,,,,
takes longer to understand,(+),1,,,,,,
takes more time to look at,(+),1,,,,,,
takes up more space,(+),1,,,,,,
tell the story,(-),1,,,,,,
text,(+),7,,,,,,
text and information,(-),1,,,,,,
text at the bottom,(+),1,,,,,,
text hard to read,(+),1,,,,,,
text is too small,(+),1,,,,,,
text labels,(+),1,,,,,,
text repeating multiple times,(+),1,,,,,,
text shapes and geography,(+),1,,,,,,
"text, numbers, mathematical formulae",(+),1,,,,,,
texts,(+),1,,,,,,
texture is stimulating,(+),1,,,,,,
the 2 point of each element,(-),1,,,,,,
the amount of information,(+),1,,,,,,
the arrangement of the text,(+),1,,,,,,
the choice of color is boring,(+),1,,,,,,
the circle,(-),1,,,,,,
the color are varied,(+),2,,,,,,
the colors,(+),1,,,,,,
the colors seem to have meaning,(+),1,,,,,,
the distribution of numbers,(+),1,,,,,,
the graphic is vertical.,(+),1,,,,,,
the image is pretty blurry,(+),1,,,,,,
the level of details that it has provide way to much information,(+),2,,,,,,
the meaning of the colors is unclear;,(+),1,,,,,,
the ratio between them,(+),1,,,,,,
the shading,(+),1,,,,,,
the shapes,(-),1,,,,,,
the size of those words,(+),1,,,,,,
the word source,(-),1,,,,,,
the world map,(-),1,,,,,,
there is little,(-),1,,,,,,
there was not any text,(+),1,,,,,,
think harder to get useful information,(+),1,,,,,,
tidier,(-),1,,,,,,
time scale,(-),1,,,,,,
tiny layout of images,(+),1,,,,,,
title,(-),4,,,,,,
title and purpose is clearer,(-),1,,,,,,
title and purpose of the visualization is clearer,(-),1,,,,,,
titles,(+),1,,,,,,
titles and descriptions,(+),1,,,,,,
too cramped,(+),1,,,,,,
too dark,(+),1,,,,,,
too detailed,(+),1,,,,,,
too detailed to make out information,(+),1,,,,,,
too many colors,(+),2,,,,,,
