raw_name,synset,category,source,n_images,example_images,example_raw_comments,example_llm_input,example_sentiments,example_finalPhrases
font,property.font_style,property,extended,2,SciVisJ.728.14.png | InfoVisJ.2546.1.png,"On the right side, the colors of the image are too similar, and it makes it harder to understand the data.; The second image has a clear and concise key and is therefore less complex.; Visual clarity Amount of information; There is more text. The font and the arrangement of the text make it harder to read. There is less blank space (too cramped).; just lines of text; a chart that needed interpretation; The highlighted image needs a lot of reading before any sort of interpretation can be made.; The colours make it look cool; amount of text; amount of text, number of colours,; Use of color makes reading easier; How visible is the information — easy to read; there are lots of words on the one on the left; I have a legend and explanations.; intuitive understanding of graph || A lot of words and letters, too many divisions, different sizes of font",explanations; legend; clear and concise key; colors; look cool; Amount of information; Visual clarity; colors are too similar; harder to understand; lots of words; needs a lot of reading; amount of text; number of colors; lines of text; less blank space; too cramped; The font; more text; the arrangement of the text; harder to read; needed interpretation; Use of color; easy to read; intuitive understanding of graph || too many divisions; different sizes of font; lot of words and letters,(-); (+); (-); (+); (-); (+); (+); (+); (-); (+); (+); (+) (-); (-); (-); (+); (+); (+); (+); (+); (+); (+); (-); (-); (-) || (+); (+); (+),amount of words/context/numbers; clear text arrangement/density; color contrast/clarity; distinguishable color variety/arrangement/distribution; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; more regions/space; much/little data/info; overlapping shapes/colors/lines; read/analyze many figures/items; take longer to interpret; word rotation/small font size || amount of words/context/numbers; more charts/points/lines/shapes/elements; word rotation/small font size
font_styling,property.font_style,property,extended,2,InfoVisC.73.6.png | InfoVisJ.1190.8.png,"cluter on screen; text; The left image seems simpler, with just text changing fonts and lines.; dark green; Volume of information Time to evaluate context Spread of information on the image Data interpretation; harder to understand; this one has text; I do recognize a few of the words there when I briefly glanced it; however, I am not sure what it means or what it is used for. || There are a bunch of words mixed in there that makes so difficult to read each one of them with no color difference or font.; rotation of words different word sizes",Spread of information; Volume of information; text; harder to understand; dark green; cluter on screen; has text; changing fonts; lines; a few of the words; not sure what it is used for; not sure what it means || bunch of words mixed; no font; no color difference; difficult to read; different word sizes; rotation of words,(-); (+) (-); (+); (-); (-); (+); (+); (-); (+); (-); (-); (-) || (+); (+); (+); (+); (+); (+),amount of words/context/numbers; color contrast/clarity; easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines; shapes and lines; unclear meaning/confusing; word rotation/small font size || color contrast/clarity; easy/hard to interpret; labels/axes/legends; more labels/context; word rotation/small font size
fonts,property.font_style,property,extended,1,InfoVisC.157.1.png,"too many subplots, small fonts, lack of describing information of the elements; the image on the right I find that I will unlikely be able to interpret; It wasn't clear as to what is going on in the chart.",too many subplots; lack of describing information; small fonts; wasn't clear what is going on; unlikely be able to interpret,(+); (+); (+); (+); (+),easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; word rotation/small font size
typography,property.font_style,property,extended,1,VASTJ.1763.8(2).png,The left picture utilizes a more uniform design. The left picture features only two main colors. The left picture applies one font only.,only two main colors; one font only; more uniform design,(-); (-); (-),2D/3D; two colors; word rotation/small font size
half_shading,property.opacity,property,extended,1,VASTJ.1764.2.png,I don't understand the graph and the half-shading compared to the second diagram.,half-shading; don't understand,(+); (+),color variety/shading; easy/hard to interpret
volume,property.size,property,extended,1,SciVisC.49.5.png,Hard to understand; multiple figures with different volume; visually too much color or details in a condensed zone,multiple figures; different volume; Hard to understand,(+); (+); (+),easy/hard to interpret; more charts/points/lines/shapes/elements; shapes and lines
texture,property.texture,property,extended,1,VisJ.1197.5(3).png,"There are a lot of layers of shapes/details. This complexity of texture is stimulating. Quantity of items in the image.; so many cube -> difficult to visualize; the image on the right I see no context whatsoever.; The one on the right has 3 dimensions, so it looks like it's showing more data and more complexity.",so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,(+); (+); (+); (+); (+); (+); (+) (-),"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; symbols"
background,structure.background,structure,original,6,VisJ.1515.12.png | VisJ.1949.18(3).png | vis734.png,"it was harder for my eyes to focus on the colours in this picture making it harder to adjust and see the colours.; the contrast of the colors is really weird and it doesnt make sense; Colour coded for separating facts; more lines, making it more difficult to identify differences in the information presented; i have no idea what is going on. i cannot make sense of it; I didn't understand what the left image was demonstrating; i have more dificulty to read this image for me.i don't know what to say; really don't understand this one; Processing information is not possible on the selected image; no context; too dark; Hard measure; Hard to find exact feature; I was looking for images that made sense to me, in terms of how I would retrieve data, the orange highlighted one gave me no further information; the image is not as understandable in terms of shapes and what it resembles || background white we see more clearly numbers and legend; Patterns, the image I chose was slightly mesmerizing as my brain wanted to find a pattern in it. More elements. The level of contrast. The colour intensity. || too many points;  black background",don't understand; didn't understand; in terms of shapes; what it resembles; not as understandable; Processing information is not possible; more lines; Color coded for separating facts; difficult to identify differences in information; no context; too dark; cannot make sense of it; contrast of the colors; color contrast really weird; colors; harder for my eyes to focus; gave no further information; don't know what to say; exact feature; measure; Hard measure; Hard to find exact feature || background white; numbers and legend; More elements.; wanted to find a pattern; color intensity.; level of contrast. || too many points; black background,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+) (-); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+) || (+); (+); (+); (+); (+); (+) || (+); (+),"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; more difficult to focus/follow; much/little data/info; shapes and lines; unclear colors/contrast; understand/read shapes || color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); labels/axes/legends; more charts/points/lines/shapes/elements; white/black background / other background || more charts/points/lines/shapes/elements; white/black background / other background"
empty_spaces,structure.background,structure,extended,1,InfoVisJ.2556.10.png,"1. Text not easily readable. 2. No regularity in design. (empty spaces for example). 3. Totally arbitrary color application. 4. No clear visual ""cut off points"", the frames are fading out. This looks ""messy"" and confusing.",Text not easily readable.; No regularity in design. (empty spaces for example).; Totally arbitrary color application.; No regularity in design; No clear visual cut off points; looks messy and confusing,(+); (+); (+); (+); (+); (+),"color contrast/clarity; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; unclear meaning/confusing"
map_background,structure.background,structure,original,0,,,,,
negative_space,structure.background,structure,extended,1,VASTC.123.1.png,"noisy, white color gives an illusion of a negative space",noisy; illusion of a negative space; white color,(+); (+); (+),color variety/shading; overlapping shapes/colors/lines
white_space,structure.background,structure,extended,2,InfoVisJ.2699.12.png | VisJ.1595.9(2).png,"less white space; red colours amongst lots of black overlapping lines; straight lines, dots, colour and shapes used || more graphic; no or few data; 3D; more white space",less white space; lots of overlapping lines; dots; shapes; straight lines; red colors || more graphic; no or few data; white space; 3D,(+); (+); (-); (+); (-); (+) || (+); (+); (+); (+),color contrast/clarity; overlapping shapes/colors/lines; shapes and lines || 2D/3D; more charts/points/lines/shapes/elements; much/little data/info; white/black background / other background
cell,structure.cell,structure,original,0,,,,,
columns_and_rows,structure.grid,structure,extended,1,SciVisJ.1236.10.png,"The amount of pixels and colors also with different patterns and partly mixed up seemed more intense on the right side. Also the text abpve the pixel add up to it being more complex to me.; Number of square. Variety of data in every square. convey much more data.; On the contrary the left image is clear, it shows everything by columns and rows which is easier to visualize.; The more complex image needs to be studied more intently to make sense of.; I have no idea what Image 1 is; it makes me curious what it means and the colors seem to have some sort of meaning.; I dont understand at all the image selected, neither the graphics nor the data. I have never seen something similar.; The image with the orange box has 1. different shapes and sizes of blurred purple and green boxes 2. labels are top are confusing to decode; The meaning of the code which i don't understand",needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-),"blurry colors/images; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; shapes and lines; take longer to interpret; unclear meaning/confusing"
dimension_matrix,structure.grid,structure,extended,1,SciVisJ.744.13.png,"Not understandable at all Different colours Maybe a lot of info that you should know understand just seeing the image Only for trained eyes; This image is complex because it contains lot of details, it is like 3D visualisation (4 dimension matrix), the equation to represent it must be complex. It is like the equation of the wave of water which is difficult to modelise in physic or video game.; less details and more lookable",lot of details; 3D visualization (4 dimension matrix); difficult to model; a lot of info; Different colors; Only for trained eyes; Not understandable at all; less details,(+); (+); (+); (+); (+); (+); (+); (-),2D/3D; color variety/shading; easy/hard to interpret; much/little data/info; take longer to interpret
divisions,structure.grid,structure,extended,1,InfoVisJ.2546.1.png,"A lot of words and letters, too many divisions, different sizes of font",too many divisions; different sizes of font; lot of words and letters,(+); (+); (+),amount of words/context/numbers; more charts/points/lines/shapes/elements; word rotation/small font size
grid,structure.grid,structure,original,6,SciVisJ.1236.10.png | VASTJ.2908.2.png | SciVisJ.807.5.png,"The amount of pixels and colors also with different patterns and partly mixed up seemed more intense on the right side. Also the text abpve the pixel add up to it being more complex to me.; Number of square. Variety of data in every square. convey much more data.; On the contrary the left image is clear, it shows everything by columns and rows which is easier to visualize.; The more complex image needs to be studied more intently to make sense of.; I have no idea what Image 1 is; it makes me curious what it means and the colors seem to have some sort of meaning.; I dont understand at all the image selected, neither the graphics nor the data. I have never seen something similar.; The image with the orange box has 1. different shapes and sizes of blurred purple and green boxes 2. labels are top are confusing to decode; The meaning of the code which i don't understand || A lot of similar looking colors, lack of a grid so it makes it harder to look at the data points. || Right one is just a simple grid of squares",needs to be studied more intently to make sense of; different shapes and sizes; blurred purple and green boxes; labels; meaning of the code; don't understand; not something similar.; dont understand at all; no idea what Image is; the colors seem to have meaning; Number of square; Variety of data in square; columns and rows; easier to visualize || similar looking colors; lack of a grid; makes it harder to look at the data points || grid of squares,(+); (+); (+); (-); (+); (+); (+); (+); (+); (+); (+); (+); (-); (-) || (+); (+); (+) || (-),"blurry colors/images; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; more charts/points/lines/shapes/elements; shapes and lines; take longer to interpret; unclear meaning/confusing || color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret || domain-specific concepts (e.g., chemical, biology, map)"
grid_cells,structure.grid,structure,original,0,,,,,
heatmap_grid,structure.grid,structure,original,0,,,,,
matrix,structure.grid,structure,extended,1,SciVisJ.980.9.png,"The other image is easier to understand as the figures are displayed along with the countries, so with just a glance everything is summarized. - small font for the text in the description - the color aspect (grey map on dark background); The 2x2 matrix patterns are clear and the symbols (to the right) are more easily recognizable.",matrix patterns; symbols; easily recognizable,(-); (-); (-),"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; symbols"
table,structure.grid,structure,extended,4,visMost325.png | whoO10_2.png | v487_n7407_7_f2.png,"less information; 1. Great detail in colorization of continents. 2. Small table in bottom left corner. 3. Tiny writing in bottom right corner. 4. Far more detailed looking in general.; the image on the right is darker and harder to see but has more going on and is very complex; map graph || because im used to round tables like the other one || Right one is at least organized in a table; The right has a chart with labels and a key indicating what the colours represent, so even though there is a lot going on you can break down what it all means.",map; more going on; darker; harder to see; Great detail; Small table; Tiny writing; map of continents || round tables || a lot going on; a key; labels; chart with labels; break down what it means; organized in a table,(-); (+); (+); (+); (+); (+); (+); (+) || (-) || (+); (-); (-); (-); (-); (-),"color contrast/clarity; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; much/little data/info; word rotation/small font size || domain-specific concepts (e.g., chemical, biology, map) || domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; much/little data/info"
hierarchical_structure,structure.hierarchy,structure,extended,1,InfoVisJ.1149.6(1).png,"It contains a high information density. As a result, interpreting the map requires parsing through a large amount of textual data, which can be visually overwhelming and mentally taxing. Navigating through this hierarchical text requires understanding the relative importance of different labels and how they contribute to the overall information conveyed by the map. Interpreting a map with many small writings requires not only reading and understanding individual labels but also synthesizing information from multiple sources to gain a comprehensive understanding of the depicted area.",high information density; large amount of textual data; different labels; hierarchical text; many small writings; visually overwhelming; mentally taxing,(+); (+); (+); (+); (+); (+); (+),amount of words/context/numbers; distracting/confusing/unclear; labels/axes/legends; overlapping shapes/colors/lines; take longer to interpret; word rotation/small font size
hierarchy_levels,structure.hierarchy,structure,extended,1,visMost92.png,"the image has more colors, it has text, a grid, and icons (the thunders); Number of levels and levels; misunderstanding of shapes.",text; icons; more colors; misunderstanding of shapes; number of levels,(+); (+); (+); (+); (+),2D/3D; amount of words/context/numbers; color variety/shading; shapes and lines; symbols; understand/read shapes
hierarchy_structure,structure.hierarchy,structure,extended,1,np_21.png,"there has a lot of pictures and words and also picture of world; More text More individual elements Harder to understand hierarchy at first glance More variety in shapes; Small text; Different sections; Image of Earth with lines; more context, has text and information to read and understand the visualisation better.",Small text; Image of Earth with lines; More individual elements; More text; More variety in shapes; Harder to understand hierarchy; a lot of pictures and words; words; picture of world; more context; text and information,(+); (+); (+); (+); (+); (+); (+); (-); (+); (-); (-),"amount of words/context/numbers; clear text/scale/information; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; more labels/context; shape variation; word rotation/small font size"
lineages,structure.hierarchy,structure,extended,1,v483_n7390_14_f3.png,A phylogenetic tree involves a lot of different species being fit on the same tree and there is a lot of complexity in how lineages are tracked and how the evolutionary tree developed.,a lot of different species; evolutionary tree; lineages; phylogenetic tree,(+); (+); (+); (+),"domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements"
phylogenetic_tree,structure.hierarchy,structure,extended,1,v483_n7390_14_f3.png,A phylogenetic tree involves a lot of different species being fit on the same tree and there is a lot of complexity in how lineages are tracked and how the evolutionary tree developed.,a lot of different species; evolutionary tree; lineages; phylogenetic tree,(+); (+); (+); (+),"domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements"
ranking_structure,structure.hierarchy,structure,extended,1,SciVisJ.1025.10.png,"I guess it has something to do with familiarity.
The one to the left where it's ranking things.; condensate readability simplicity confusion",familiarity; ranking things,(-); (-),"domain-specific concepts (e.g., chemical, biology, map)"
ranking_system,structure.hierarchy,structure,extended,1,SciVisJ.797.13(3).png,it has more details the ranking system is beyond my understanding images are difficult to make sense of,more details; ranking system beyond understanding; images difficult to make sense of,(+); (+); (+),easy/hard to interpret; much/little data/info; shapes and lines
layers,structure.layout,structure,extended,1,VisJ.1197.5(3).png,"There are a lot of layers of shapes/details. This complexity of texture is stimulating. Quantity of items in the image.; so many cube -> difficult to visualize; the image on the right I see no context whatsoever.; The one on the right has 3 dimensions, so it looks like it's showing more data and more complexity.",so many cube; difficult to visualize; Quantity of items; layers of shapes/details; shapes; texture is stimulating; no context,(+); (+); (+); (+); (+); (+); (+) (-),"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; symbols"
layout,structure.layout,structure,original,26,InfoVisJ.619.17.png | v487_n7406_7_f3.png | VASTJ.2012.9(2).png,"this is visually complex because the dots are everywhere not in exact locations spread around seems cluttered; the other photo seems easier to figure out- but was tough to decide || There are more colors and more details all mixed up to scrutinize on the orange highlight image. Datas printed on orange highlight image seem more difficult to understand. || I picked complexity mostly for the amount of items displayed, how busy the charts were, the amount of information given and how hard it was to quickly understand them.; many different elements - less organization of elements - more variety of colors",dots are everywhere; seems cluttered; spread around; easier to figure out || mixed up; more details; more colors; more difficult to understand || many different elements; less organization of elements; more variety of colors; amount of items; how busy the charts were; the amount of information; how hard it was to quickly understand,(+); (+); (+); (-) || (+); (+); (+); (+) || (+); (+); (+); (+); (+); (+); (+),easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines || color variety/shading; easy/hard to interpret; much/little data/info; overlapping shapes/colors/lines || color variety/shading; easy/hard to interpret; less organized elements; more charts/points/lines/shapes/elements; much/little data/info; overlapping shapes/colors/lines
layout_structure,structure.layout,structure,original,2,InfoVisC.24.8.png | InfoVisJ.2556.10(2).png,"Looks more ""chaotic"" Less structured More data? || il.logic; The density of text - Hard to understand",More data; Less structured; chaotic || illogical; density of text; Hard to understand,(+); (+); (+) || (-); (+); (+),distracting/confusing/unclear; much/little data/info || clear text arrangement/density; distracting/confusing/unclear; easy/hard to interpret
multi_panel_figure,structure.layout,structure,extended,1,InfoVisJ.1933.13.png,"The image just hurt my eyes to look at. They all looked the same yet different.; For this one, you need to read 15 figures separately. Therefore, I find it more complex.",hurt my eyes; need to read 15 figures separately,(+); (+),distracting/confusing/unclear; read/analyze many figures/items
overall_layout,structure.layout,structure,original,0,,,,,
presentation_logic,structure.layout,structure,extended,2,vis673.png | VASTJ.51.7.png,nan || nan,Initial (intuitive) attractiveness to actually delve into the image and analyze it; Expected time and cognitive load to understand the logic of presentation; Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise); Expected time and cognitive load to understand the majority of information in the image (separating information from noise) || Initial (intuitive) attractiveness to actually delve into the image and analyze it; Expected time and cognitive load to understand the logic of presentation; Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise); Expected time and cognitive load to understand the majority of information in the image (separating information from noise),(-); (+); (+); (+) || (-); (+); (+); (+),easy/hard to interpret || easy/hard to interpret; take longer to interpret
spatial_dimension,structure.layout,structure,extended,1,visMost777.png,"The image changes over something but not sure what, the meanings of color are not well defined. and it seems like a physical dimension but not sure",not sure; physical dimension; meanings of color not well defined.,(+); (+); (+),"2D/3D; color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map)"
structure,structure.layout,structure,extended,1,InfoVisJ.651.7.png,"Displays a wider variety of colors and gradients; lacks a clear form or structure, making it abstract and open to interpretation; has no discernible patterns or repetition; gives an illusion of depth or three-dimensionality due to blurring and color overlay.",illusion of depth or 3d; lacks a clear form or structure; blurring and color overlay; wide variety of colors and gradients; no discernible patterns,(+); (+); (+); (+); (+),"2D/3D; blurry colors/images; color variety/shading; domain-specific concepts (e.g., chemical, biology, map); unclear meaning/confusing"
branches,structure.link,structure,extended,1,v483_n7390_14_f3.png,A phylogenetic tree involves a lot of different species being fit on the same tree and there is a lot of complexity in how lineages are tracked and how the evolutionary tree developed.,a lot of different species; evolutionary tree; lineages; phylogenetic tree,(+); (+); (+); (+),"domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements"
connection,structure.link,structure,original,0,,,,,
edge,structure.link,structure,original,0,,,,,
edges,structure.link,structure,original,1,InfoVisJ.401.12.png,More elements; the chosen image seems like there is a cluster of information that needs to be seen slowly one by one. It feels like the chosen visualization comes from a more scientific method than just showing information in text. Some kind of extra information would be needed to understand what these networks mean.,More elements; a cluster of information; showing information in text; network; scientific method,(+); (+); (+); (+); (+),"clear text/scale/information; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; much/little data/info"
interactions,structure.link,structure,extended,1,InfoVisJ.1558.11(6).png,The elements in the first image are more evenly distributed but do not seem to present much interaction between them.; the other one only has dots,more evenly distributed; not much interaction; only has dots,(-); (-); (-),2D/3D; labels/axes/legends; shapes and lines
intersections,structure.link,structure,extended,3,InfoVisJ.349.1.png | InfoVisC.8.7.png | VASTJ.1698.5(4).png,"has easy lines to follow second option has easily distinct shapes; The numerous intersections on the right chart made it confusing to read to me.; Proximity of items Colours involved Complexity of image; Amount of information to understand the data; Lack of label or explanation; visually more abstract and to me complex; random like shapes; random like ""movement"" of datapoints(?); monochrome colour appeared more complex to me || There were a lot of intersections in the Circle  suggesting that there is a high amount of data to be extracted || this image is strange and difficult to analyze that why i found it complex; lines crossing; information depicted more granularly; I don't know how to read this, it's understandable; they were both complex but the depth and intersecting lines of the one one the right made it more complex for me",distinct shapes; lines; easy lines to follow; numerous intersections; confusing to read; random like movement of datapoints; random like shapes; monochrome color; Proximity of items; Colors involved; Lack of label or explanation || high amount of data; intersections in the Circle || lines crossing; information depicted more granularly; don't know how to read this; depth; intersecting lines; strange; difficult to analyze,(-); (+); (-); (+); (+); (+); (+); (+); (-); (+); (+) || (+); (+) || (+); (+); (+); (+); (+); (+); (+),"color contrast/clarity; distracting/confusing/unclear; easy/hard to interpret; labels/axes/legends; monochrome; more charts/points/lines/shapes/elements; overlapping shapes/colors/lines; random-like shapes; shapes and lines; unclear meaning/confusing; word rotation/small font size || much/little data/info; overlapping shapes/colors/lines || 2D/3D; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; overlapping shapes/colors/lines; shapes and lines"
link,structure.link,structure,original,1,InfoVisJ.621.2.png,whilst the other one only has 2 (title and link).,only has 2; link; title,(-); (-); (-),labels/axes/legends; more charts/points/lines/shapes/elements
network,structure.link,structure,extended,3,VisC.11.12(2).png | InfoVisJ.401.12.png | InfoVisJ.2486.8.png,"In the orange highlighted image, there are a multitude of paths or routes between different points. These paths overlap, intersect, diverge, creating a visually intricate network The crossing and overlapping of the lines make it challenging to distinguish between individual routes or connections, requiring careful examination and interpretation to unravel the underlying structure of the network. It contain layered information, with different sets of lines representing various types of relationships or networks It makes it difficult to focus on the image for long; More intersecting lines, vast interpretations, less writing || More elements; the chosen image seems like there is a cluster of information that needs to be seen slowly one by one. It feels like the chosen visualization comes from a more scientific method than just showing information in text. Some kind of extra information would be needed to understand what these networks mean. || lines, relationships;  both are complex; The other image has somewhat of a color scheme. I could see that the red lines are forming some sort of network between the blue dots in the other image. I have seen the other image in data visualizations before.","intersecting lines; less writing; vast interpretations; crossing and overlapping of the lines; multitude of paths or routes between different points; paths overlap, intersect, diverge, creating a visually intricate network; challenging to distinguish; difficult to focus on the image for long; require careful examination and interpretation || More elements; a cluster of information; showing information in text; network; scientific method || lines; relationships; data visualizations; network; color scheme; dots",(+); (+); (+); (+); (+); (+); (+); (+); (+) || (+); (+); (+); (+); (+) || (+); (-); (-); (+); (-); (-),"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; little/less text/numbers/context; overlapping shapes/colors/lines; take longer to interpret || clear text/scale/information; domain-specific concepts (e.g., chemical, biology, map); more charts/points/lines/shapes/elements; much/little data/info || color variety/shading; design-data relationship; domain-specific concepts (e.g., chemical, biology, map); shapes and lines"
paths,structure.link,structure,extended,1,VisC.11.12(2).png,"In the orange highlighted image, there are a multitude of paths or routes between different points. These paths overlap, intersect, diverge, creating a visually intricate network The crossing and overlapping of the lines make it challenging to distinguish between individual routes or connections, requiring careful examination and interpretation to unravel the underlying structure of the network. It contain layered information, with different sets of lines representing various types of relationships or networks It makes it difficult to focus on the image for long; More intersecting lines, vast interpretations, less writing","intersecting lines; less writing; vast interpretations; crossing and overlapping of the lines; multitude of paths or routes between different points; paths overlap, intersect, diverge, creating a visually intricate network; challenging to distinguish; difficult to focus on the image for long; require careful examination and interpretation",(+); (+); (+); (+); (+); (+); (+); (+); (+),"domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; little/less text/numbers/context; overlapping shapes/colors/lines; take longer to interpret"
process_path,structure.link,structure,extended,1,InfoVisJ.339.3.png,"It has considerably more going on than the other image. More text, colors, connections and information. The arrangement of the data is more complicated because of that, making it take a little bit longer to understand and go through. The colors of the image are strongly contrasting with each other. There's big text and smaller text, as in, titles and descriptions. Honestly, this image is complex but not confusing, it's okay.; I see more links and written information in the second image. There are also more types of information in the one I have selected.; both is understandable, but right one is more complex as it describes a process.; The left image is showing a very clear path to follow",More connections and information; big text and smaller text; titles and descriptions; colors strongly contrasting; longer to understand and go through; clear path to follow; a process; understandable; more types of information; more links; written information,(+); (+); (+); (+); (+); (-); (+); (-); (+); (+); (+),"amount of words/context/numbers; distinguishable/full/highly contrast color uses; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; labels/axes/legends; much/little data/info; shapes and lines; take longer to interpret; unclear meaning/confusing"
relationships,structure.link,structure,extended,1,InfoVisJ.2486.8.png,"lines, relationships;  both are complex; The other image has somewhat of a color scheme. I could see that the red lines are forming some sort of network between the blue dots in the other image. I have seen the other image in data visualizations before.",lines; relationships; data visualizations; network; color scheme; dots,(+); (-); (-); (+); (-); (-),"color variety/shading; design-data relationship; domain-specific concepts (e.g., chemical, biology, map); shapes and lines"
blue_box,structure.panel,structure,extended,1,InfoVisJ.1558.5.png,"the left one seems to explain some kind of pattern in the blue box, therefore i didn't think it imply anything too complicated.; it's clear it's something oval-shaped stretched out differently",oval-shaped; stretched out differently; some kind of pattern; blue box; didn't think it imply anything too complicated,(-); (-); (-); (-); (-),"color contrast/clarity; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; shapes and lines"
bounding_box,structure.panel,structure,original,0,,,,,
box,structure.panel,structure,original,0,,,,,
code_block,structure.panel,structure,extended,1,InfoVisC.24.3(2).png,just text on the (less complex) and code/text; In the image with orange highlight I'm seeing programming and for me it's more difficult.,code/text; just text; programming; more difficult,(-); (-); (+); (+),"amount of words/context/numbers; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret"
computer_screen,structure.panel,structure,extended,1,SciVisJ.891.13.png,"Image 2 looks like a computer home screen and, while there is a lot going on there.",a lot going on; computer screen,(+); (-),"domain-specific concepts (e.g., chemical, biology, map); much/little data/info"
dashed_box,structure.panel,structure,extended,1,VisJ.1595.6(2).png,"I believe that the image on the left is more complex because it includes more writing on the actual page, more color, more shapes, and overall, it fills the paper more, making it a more complex image.; how objects spread over the whole picture; its an equation giving coordinates and its hard to solve the dotted lines and the picture itself; The one to the right does not sound familiar to me at all. I guess it has something to do with familiarity.; the other graphic is something i am not familiar with and that is why i had chosen it; Confusing, text on left is hard to read.; multiple colors, shape, dashed box and line, unfamiliar with terms make the right one more complicated.; Both images are complex to me in their simplicity.",text hard to read; Confusing; not familiar with; hard to solve; more shapes; more writing; more color; objects spread over; does not sound familiar; dashed box; dashed line; shape; unfamiliar with terms; multiple colors,(+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+); (+),"amount of words/context/numbers; color variety/shading; distracting/confusing/unclear; domain-specific concepts (e.g., chemical, biology, map); easy/hard to interpret; more charts/points/lines/shapes/elements; much/little data/info; shapes and lines; take longer to interpret; unclear meaning/confusing; word rotation/small font size"
frame,structure.panel,structure,extended,1,InfoVisJ.1236.13.png,The right is much harder to get grip of on many levels. Then there was also the scale and the frame with values on the right which adds up to the complexity.,frame with values; scale,(-); (-),2D/3D; clear text/scale/information
individual_panel,structure.panel,structure,extended,1,InfoVisJ.1933.13.png,"The image just hurt my eyes to look at. They all looked the same yet different.; For this one, you need to read 15 figures separately. Therefore, I find it more complex.",hurt my eyes; need to read 15 figures separately,(+); (+),distracting/confusing/unclear; read/analyze many figures/items
left_image,structure.panel,structure,extended,1,SciVisJ.1580.11(2).png,"The left image was easy to decipher, showing a zoom in on a certain area with a simple bar to indicate the measurement. It is a clear image that would help at a glance if you knew the context.","The left image was easy to decipher, showing a zoom in on a certain area with a simple bar to indicate the measurement.; It is a clear image that would help at a glance if you knew the context.",?; ?,2D/3D; easy/hard to interpret; shapes and lines
