Immediacy / Cognitive Load_sentiment,Immediacy / Cognitive Load_count,Immediacy / Cognitive Load,Immediacy / Cognitive Load (AIcurated),Immediacy / Cognitive Load (HumanCuration),Data Density / Image Clutter_sentiment,Data Density / Image Clutter_count,Data Density / Image Clutter,Data Density / Image Clutter (AIcurated),Data Density / Image Clutter (HumanCuration),Visual Encoding Clarity_sentiment,Visual Encoding Clarity_count,Visual Encoding Clarity,Visual Encoding Clarity (AIcurated),Visual Encoding Clarity (HumanCuration),Semantics / Text Legibility_sentiment,Semantics / Text Legibility_count,Semantics / Text Legibility,Semantics / Text Legibility (AIcurated),Semantics / Text Legibility (HumanCuration),Schema_sentiment,Schema_count,Schema,Schema (AIcurated),Schema (HumanCuration),"Color, Symbol, and Texture Details_sentiment","Color, Symbol, and Texture Details_count","Color, Symbol, and Texture Details","Color, Symbol, and Texture Details (AIcurated)","Color, Symbol, and Texture Details (HumanCuration)",Aesthetics Uncertainty_sentiment,Aesthetics Uncertainty_count,Aesthetics Uncertainty,Aesthetics Uncertainty (AIcurated),Aesthetics Uncertainty (HumanCuration)
(+),1,hard to see story,hard to see,hard to see/tell/visualize,(+),1,tiny layout of images,too cramped,dense/cluttered layout,(+),1,dashed box,dashed box,shapes and lines,(+),1,No axis,no axis,no measurement/metric,(+),1,brands don't recognize,unrecognized brands,unfamiliar concepts/patterns,(-),1,color scheme,color scheme,color scale/scheme,,,,,
(+),1,clueless,don't know,not interpretable/readable/understandable,(+),1,intersecting lines,line intersections,overlapping shapes/colors/lines,(+),1,dashed line,dashed line,shapes and lines,(+),1,No graphic legend,no graphic legend,lack of/not enough axis labels/legend/annotations/context,(+),1,no pattern,no pattern,unfamiliar concepts/patterns,(+),1,several more colors,several more colors,more colors,,,,,
(+),1,hard to ascertain,hard to ascertain,hard to compare/discern/distinguish,(+),1,intersection of lines,line intersections,overlapping shapes/colors/lines,(+),1,depth,3D,2D/3D,(+),1,Amount of subjects,amount of subjects,too many subjects,(+),1,cannot understand the pattern,cannot understand pattern,unfamiliar concepts/patterns,(+),1,Intense colors,intense colors,intense/too many colors,,,,,
(-),1,ease of reading,easy to read,easy to interpret/read/understand,(+),1,jumble of dots and colors,jumbled graphs,messy/mixed up/noisy/intermingled elements,(+),1,intersecting lines,lines,intersecting lines,(+),1,amount of text,amount of text,amount of words/context/numbers,(-),1,wind map,wind map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,smaller icons,smaller icons,indicating symbols,,,,,
(+),1,dificult to see whats about,hard to see,hard to see/tell/visualize,(+),1,Larger dataset,larger dataset,large dataset,(+),1,did not know what data to convey,unclear what data conveys,unclear what data conveys,(+),1,amount of words describing data,more words,more texts/words,(-),1,basic graph,graph,a specific technique,(+),1,color keys,color keys,color keys,,,,,
(+),1,confusing to read,confusing,unclear meaning/confusing,(+),1,so more things,more things,more detailed/things,(+),1,different bars,several elements,several elements,(+),1,amount of words in columns,more words in columns,more texts/words,(-),1,earth,image of Earth,a specific domain,(+),1,not a lot of contrast,low contrast,lack of color contrast / hard to distinguish colors,,,,,
(-),1,How fast I can comprehend the content,easy to understand,easy to interpret/read/understand,(+),1,layout of the image,busier layout,dense/cluttered layout,(+),1,some values in the middle,values in the middle,values in the middle,(+),1,the size of those words,word size,word rotation/small font size,(-),1,geography,map,"domain-specific concepts (e.g., chemical, biology, map)",(-),1,contrast,color contrast,low color contrast/separation/segmentation,,,,,
(+),1,takes more time to look at,take longer to understand,take longer to interpret,(+),1,less blank space,more space taken,more regions/space,(+),1,different shapes and sizes,different shapes and sizes,shape size variation,(-),1,four highlighted words,highlighted words,highlighted words,(-),1,round tables,unfamiliar design/domain uses,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,illusion of a negative space,negative space illusion,negative space,,,,,
(+),1,more difficult to capture,more difficult to understand,more difficult to interpret/read/understand/differentiate,(+),1,too cramped,too cramped,dense/cluttered layout,(+),1,"Error bars, up and down",error bars,error bars,(+),1,Axes titles,axes titles,title/axis/label/descriptions,(-),1,saw it multiple times,familiar representation,familiar representation,(+),1,white color,white color,white color on black background,,,,,
(+),1,difficult to visualize,hard to visualize,hard to see/tell/visualize,(+),1,less white space,more space taken,less empty space,(+),1,exact feature,exact feature,exact feature,(+),1,axes,axis,title/axis/label/descriptions,(-),1,used to work with,familiar representation,familiar representation,(+),1,color of dots,color of dots,clear color uses,,,,,
(+),1,I do not understand the picture,don't understand,not interpretable/readable/understandable,(+),1,lots of overlapping lines,overlapping lines,overlapping shapes/colors/lines,(+),1,measure,representation,representation,(+),1,numerical values,numerical values,lack of/not enough axis labels/legend/annotations/context,(-),1,familiarized with this type of charts,familiar representation,familiar representation,(+),1,colors in the same area,colors clustered together,color variety/arrangement/distribution,,,,,
(+),1,too detailed to make out information,hard to interpret,hard to interpret/read/understand,(+),1,lines crossing,overlapping lines,overlapping shapes/colors/lines,(+),1,exact value,exact value,exact value,(+),1,axis labeling,axis labeling,title/axis/label/descriptions,(-),1,chart,chart,"a specific technique, e.g., bar, pie, circle",(-),1,color separation,color separation,low color contrast/separation/segmentation,,,,,
(+),1,challenging to identify,hard to identify,hard to identify/extract/find features,(+),1,little information,little information,little data/info,(+),1,graphs,graphs,graph,(+),1,bunch of words mixed,mixed words,more labels/context,(-),1,map is familiar,map,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,colors on both side left are identical,identical colors,lack of color contrast / hard to distinguish colors,,,,,
(+),1,difficult to focus on,hard to focus,hard to focus/follow,(+),1,lot of details,more details,more detailed/things,(+),1,plots,plots,plots,(+),1,no font,no font,lack of/not enough axis labels/legend/annotations/context,(-),1,heatmap,heat map,a specific technique,(+),1,Lots of colors,lots of colors,color variety/arrangement/distribution,,,,,
(+),1,Can't tell what the graph is trying to say,hard to interpret,hard to interpret/read/understand/differentiate,(+),1,Lots of boxes,more boxes,more charts/points/lines/shapes/elements,(+),1,extension and randomness,random-like shapes,random-like shapes,(+),1,density of text,text density,clear text arrangement/density,(-),1,Football,sports-related,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,Background color,background color,white/black background / other background,,,,,
(+),1,hard to tell,hard to tell,hard to see/tell/visualize,(+),1,Lots of information,more information,much/more data/info/info spread,(+),1,from circular to rectangular,various shapes,shape variety,(+),1,Different font sizes,different font sizes,different font/word sizes/structure,(-),1,symbols more easily recognizable,familiar symbols,familiar representation,(+),1,More overlapping colors,overlapping colors,soft/layered/overlapping colors,,,,,
(-),1,just a glance everything is summarized,understand at a glance,easy to interpret/read/understand,(+),1,Lots of inscription with details,more details,more detailed/things,(+),1,less uniform shapes,less uniform shapes,less uniform shapes,(+),1,Small font sizes,small font,word rotation/small font size,(+),1,Seems more mathematical,scientific method,a specific domain,(+),1,texture is stimulating,stimulating texture,visually stimulating  texture/colors,,,,,
(-),1,image is simple,simple to understand,simple to interpret/read/understand,(+),1,several measurements,several measurements,many measurements,(-),1,oval-shaped,shapes,shapes,(+),1,different word sizes,different word sizes,different font/word sizes/structure,(+),1,The info doesn't seem to follow a specific pattern.,no pattern,unfamiliar concepts/patterns,(+),1,ambiguous colors,ambiguous colors,ambiguous/confusing colors,,,,,
(+),1,confusing and complex to understand,confusing,unclear meaning/confusing,(+),1,Lots of lines out of other lines,overlapping lines,overlapping shapes/colors/lines,(-),1,stretched out differently,size variations,size variation,(+),1,rotation of words,word rotation,word rotation/small font size,(+),1,The info is more varied.,information nature,unfamiliar concepts/patterns,(+),1,Use of ambiguous colors,ambiguous colors,ambiguous/confusing colors,,,,,
(+),1,can not read them,hard to read,hard to interpret/read/understand/differentiate,(+),1,a little bit busier,a little busier,dense/cluttered data/info,(+),1,gauge some info graphically,graphical information,graphical information,(+),1,factual information,factual information,factual information,(+),1,Context.,no context,no context or reference,(+),1,different color,different color,color variety/arrangement/distribution,,,,,
(+),1,can't tell what the image is about,don't know meaning,not interpretable/readable/understandable,(+),1,information in a small space,information packed,dense/cluttered data/info,(+),1,gave no further information,no more information,no more information,(-),1,"The bigger the word, the most often the use.",word size,word rotation/small font size,(+),1,Concept.,familiar domain,"domain-specific concepts (e.g., chemical, biology, map)",(+),1,various shades of color,color shade changes,color shading,,,,,
(+),1,cannot make sense of it,cannot make sense,not interpretable/readable/understandable,(+),1,lots of meeting points,line intersections,overlapping shapes/colors/lines,(+),1,horizontal lines,lines,shapes and lines,(-),1,frequency of words,word frequency,word frequency,(+),1,generated in a 3D program by mistake,3D visualization,2D/3D,(+),1,black background,black background,white/black background / other background,,,,,
(+),1,color hard to identify,hard to identify,hard to identify/extract/find features,(+),1,Lots of points,more points,more charts/points/lines/shapes/elements,(+),1,how that changed over one year,change over time,change over time,(+),1,four labeled axes,four labeled axes,title/axis/label/descriptions,(-),1,Human interpretability,no idea what it represents,not enough knowledge to tell,(+),1,too much color,too much color,too many colors,,,,,
(+),1,decipher while reading,not easily decipherable,hard to interpret/read/understand/differentiate,(+),1,lots of regions,more regions,more regions/space,(+),1,shows crop each country/region produces,crop production shown,crop production shown,(+),1,hard to read,hard to read,hard to read,(-),1,Able to imagine a meaning,no idea what it represents,not enough knowledge to tell,(+),1,different color codes,color codes,unclear colormaps,,,,,
(-),1,easy to read and decipher.,easy to decipher,easy to interpret/read/understand,(+),1,lots of separate charts,more charts,more charts/points/lines/shapes/elements,(+),1,illusion of depth or 3d,3D,2D/3D,(+),1,has text.,text,word/text/sentence,,,,,,(+),1,variety of colors,unique/varied colors,color variety/arrangement/distribution,,,,,
(-),1,very straight forward,straightforward,intuitive,(+),1,many circles,many circles,more charts/points/lines/shapes/elements,(+),1,lacks a clear form or structure,unclear structure,unclear structure,(+),1,has text,text,word/text/sentence,,,,,,(-),1,colors representing groups,colors represent groups,color represents groups,,,,,
(+),1,difficult to ascertain,hard to ascertain,hard to compare/discern/distinguish,(-),1,one more bit of info,more information,much/more data/info/info spread,(-),1,2d geometric shapes,various shapes,shape variety,(+),1,Involves words/sentences,involves text,-,,,,,,(-),1,good color choices,good color choice,color variety/arrangement/distribution,,,,,
(+),1,difficult to comprehend at first glance,difficult to understand,hard to interpret/read/understand,(-),1,only has 4 data points,few data points,little data/info,(-),1,curves and different points,curves and points,curves and shapes,(+),1,involves numbers,involves numbers,involves numbers,,,,,,(-),1,clearer colors,clearer colors,clearer coloring,,,,,
(-),1,easier to decipher,easier to decipher,easier to interpret/read/understand,(+),1,many different elements,many elements,more charts/points/lines/shapes/elements,(-),1,dots and lines on a grid,dots and lines,shapes and lines,(+),1,Lack of label or explanation,lack of text,lack of/not enough axis labels/legend/annotations/context,,,,,,(-),1,symbols,symbols,symbols,,,,,
(+),1,difficult to parse,hard to parse,hard to identify/extract/find features,(+),1,many elements intermingled,intermingled elements,messy/mixed up/noisy/intermingled elements,(+),1,in terms of shapes,shape-related,understand/read shapes,(+),1,lack of legends,lack of legends,lack of/not enough axis labels/legend/annotations/context,,,,,,(-),1,clear color difference,color difference,color variety/arrangement/distribution,,,,,
(-),1,easy to read map,easy to read,easy to interpret/read/understand,(+),1,way more information,more information,much/more data/info/info spread,(+),1,information and nuance transported,information nuance expressed,information nuance expressed,(+),1,lack of text,lack of text,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,orange complex,complex orange shades,color shading,,,,,
(+),1,don't know how to read this,don't know how to read,not interpretable/readable/understandable,(+),1,many graphs side by side,multiple graphs,multiple features/elements/graphs,(+),1,information in technical way,technical information encoding,technical encoding,(+),1,lacks context,lacks context,lack of/not enough axis labels/legend/annotations/context,,,,,,(-),1,like the colors,appealing colors,appealing colors,,,,,
(+),1,don't know what it presents.,don't know meaning,unclear meaning/confusing,(+),1,many individual dots,many dots,more charts/points/lines/shapes/elements,(+),1,information over a number of years,multi-year information,multi-year information,(+),1,legend far more vague,vague legend,title/axis/label/descriptions,,,,,,(+),1,colored in a certain shape,colored shape,colored shape,,,,,
(-),1,get the message of the visualization in 1-2 seconds,understand at a glance,easy to interpret/read/understand,(+),1,small and sparse dots,more dots,more charts/points/lines/shapes/elements,(+),1,information points,points of interest,shape point of interest,(+),1,Legend too close to visualization,legend adds complexity,too much legend,,,,,,(-),1,color hues,color hues,color hues,,,,,
(+),1,don't know what to say,don't know,not interpretable/readable/understandable,(+),1,Many results in chart,many elements,more charts/points/lines/shapes/elements,(+),1,layout of the grid,grid layout,grid layout,(-),1,Legend too close to visualizations,legend adds complexity,too much legend,,,,,,(+),1,the colors seem to have meaning,colors have meaning,unclear meaning/confusing,,,,,
(+),1,don't understand well,don't understand,not interpretable/readable/understandable,(+),1,lines of scale,more data lines,more charts/points/lines/shapes/elements,(+),1,point position,point position,shape position,(+),1,Less clear writing,unclear writing,unclear relation between words,,,,,,(+),1,colors dull and blended,dull blended colors,blended colors,,,,,
(+),1,don't understand where to look.,don't know where to look,unclear where to look/what to see,(+),1,many numbers,many numbers,many numbers,(+),1,Less organic shapes,less organic shapes,less organic shapes,(+),1,less text,less text,little/less text/numbers/context,,,,,,(+),1,the image is pretty blurry,blurry image,blurry colors/images,,,,,
(-),1,less information to process,reduces the effort to comprehend,easy to interpret/read/understand,(+),1,many shapes,many shapes,more charts/points/lines/shapes/elements,(+),1,Uneven shape,uneven shape,uneven shape,(+),1,Letter size variation,letter size variation,different font/word sizes/structure,,,,,,(+),1,overly colorful,overly colorful,too many colors,,,,,
(+),1,hard to solve,hard to solve,hard to see/tell/visualize,(+),1,small details,fine details,fine/layered details,(+),1,line and shape,lines and shapes,shapes and lines,(+),1,Word meaning difference,different word meanings,different word meaning,,,,,,(+),1,color scheme hard on eyes,color scheme,color scale/scheme,,,,,
(+),1,harder to compare,more difficult to compare,more difficult to compare/discern/distinguish,(+),1,many small details,many small details,fine/layered details,(+),1,lines cannot be distinguished,indistinguishable/unintuitive lines,indistinguishable/unintuitive lines,(+),1,lotd of words,lot of words,amount of words/context/numbers,,,,,,(+),1,meanings of color not well defined.,unclear color meaning,unclear color meaning,,,,,
(-),1,easier to compare,easier to compare,easier to compare/discern/distinguish,(+),1,much more information,more information,much/more data/info/info spread,(+),1,lines do not make sense,indistinguishable/unintuitive lines,indistinguishable/unintuitive lines,(+),1,many categories in the legend,many legend categories,many legend categories,,,,,,(+),1,colored dots,colored dots,unclear colormaps,,,,,
(+),1,I don't even know,don't know,not interpretable/readable/understandable,(+),1,mixed up,mixed up,messy/mixed up/noisy/intermingled elements,(+),1,lines going in different directiopns and amounts,indistinguishable/unintuitive lines,indistinguishable/unintuitive lines,(+),1,lots of words,lots of words,amount of words/context/numbers,,,,,,(+),1,multiple shades of blue,blue shades,color shading,,,,,
(+),1,making accurate interpretation challenging,interpretation challenging,hard to interpret/read/understand/differentiate,(+),1,more areas,more areas,more detailed/things,(-),1,straight line,straight line,straight lines,(+),1,Lots of writing,lots of writing,amount of words/context/numbers,,,,,,(+),1,variation in colors / shades,color variation,color variety/arrangement/distribution,,,,,
(+),1,more difficulty reading,more difficult to read,more difficult to interpret/read/understand/differentiate,(+),1,more bars,more charts,more charts/points/lines/shapes/elements,(+),1,Lines,lines,lines,(+),1,many writings,many writings,title/axis/label/descriptions,,,,,,(+),1,no color difference,no color difference,no color difference,,,,,
(-),1,simple to grasp the ideas,simple to understand,simple to interpret/read/understand,(+),1,more busy,busier layout,dense/cluttered layout,(+),1,location within the image,image location,image location,(+),1,squeezed writings,cluttered labels/annotations,cluttered labels/annotations,,,,,,(+),1,separate color scale,separate color scale,separate color scales,,,,,
(+),1,need detailed analysis,need detailed analysis,more effort/reading/detailed analysis,(+),1,multiple data points,multiple features,multiple features/elements/graphs,(+),1,overall shape,overall shape,overall shape,(+),1,more information labeled,more labeled information,more labels/context,,,,,,(+),1,color variety,color variety,color variety/arrangement/distribution,,,,,
(+),1,need more time to realize,take longer to understand,take longer to interpret,(+),1,more cluttered,more cluttered,dense/cluttered layout,(+),1,Magnification effects,scale difference,scale difference,(+),1,more legible,more legible,more legible,,,,,,(+),1,black color grabbed attention,black colored,black color,,,,,
(-),1,easily recognizable,easy to identify,easy to identify/extract/find features,(+),1,More connections and information,more information,much/more data/info/info spread,(+),1,Various geometrical shapes,various shapes,shape variety,(+),1,More letters,more letters,more texts/words,,,,,,(+),1,Involves colors,involves colors,unclear colormaps,,,,,
(+),1,need of focus,need focus,attention/squinting to understand,(+),1,More data points,more data points,more charts/points/lines/shapes/elements,(+),1,quantitative relation,design-data relationship,design-data relationship,(+),1,no description,no description,lack of/not enough axis labels/legend/annotations/context,,,,,,(-),1,Use of color,use of color,unclear colormaps,,,,,
(+),1,need to read 15 figures separately,need to read many figures,read/analyze many figures/items,(-),1,limited number of data,very little data,little data/info,(-),1,more uniform design,more uniform design,more uniform design,(-),1,explanations,explanation text,explanation text,,,,,,(+),1,Color difference,color difference,color variety/arrangement/distribution,,,,,
(+),1,needed interpretation,requires more interpretation,more reading/interpretation/understanding,(+),1,more dots,more dots,more charts/points/lines/shapes/elements,(+),1,meaning of the code,code meaning,unclear meaning,(+),1,No explanation of data,no explanation of data,lack of legend,,,,,,(+),1,Prominent colors,prominent colors,salient colors,,,,,
(+),1,needs a lot of reading,needs a lot of reading,read/analyze many figures/items,(+),1,more everything,more everything,more charts/points/lines/shapes/elements,(+),1,metric it represents,metric representation,metric representation,(+),1,no key for the data,no key for data,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,not as simple color wise,not simple color-wise,not simple color-wise,,,,,
(-),1,interpreted in less than a second,understand at a glance,easy to interpret/read/understand,(-),1,few items,few items,little data/info,(+),1,misunderstanding of shapes,shape misunderstanding,understand/read shapes,(+),1,No legends,no legends,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,not simple color wise,not simple color-wise,not simple color-wise,,,,,
(+),1,needs more efffort,needs more effort,more effort/reading/detailed analysis,(+),1,more elements of information,more elements,more charts/points/lines/shapes/elements,(+),1,number of levels,number of levels,number of levels,(+),1,no metrics,no metrics,no measurement/metric/axis,,,,,,(+),1,Brighter colors,brighter colors,bright colors,,,,,
(+),1,needs to be studied more intently to make sense of,needs more study,more effort/reading/detailed analysis,(+),1,More items,more items,more charts/points/lines/shapes/elements,(+),1,more complex shape,complex curve/shape,curves and shapes,(+),1,No numbers to identify anything,no numbers,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,too dark,too dark,unclear coloring,,,,,
(+),1,no clue what it meant,no clue,unclear meaning/confusing,(+),1,a cluster of information,clustered information,clustered data/info,(+),1,more squares than dots,more squares than dots,more squares than shapes,(+),1,no titles,no titles,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,different colors are confusing,ambiguous colors,ambiguous/confusing colors,,,,,
(-),1,could gather what it meant,easy to interpret,easy to interpret/read/understand,(+),1,more fine detail,more details,more detailed/things,(+),1,more variation in shapes,more shape variation,shape variation,(+),1,no written information,no written information,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,shades of color change,color shade changes,color shading,,,,,
(+),1,no idea what it's supposed to mean,no idea,unclear meaning/confusing,(+),1,more graphic,more graphic elements,more charts/points/lines/shapes/elements,(+),1,multiple shapes,multiple shapes,multiple shapes,(-),1,a key,key,too much legend,,,,,,(+),1,not sure what color stands for,unclear color meaning,unclear color meaning,,,,,
(+),1,not intuitive,not intuitive,not intuitive/simple data,(+),1,more images,more images,more detailed/things,(+),1,multivariate,multivariate,multivariate,(+),1,numbers have no meaning,numbers lack meaning,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,what the colors differentiate,color differentiation,color differentiation,,,,,
(+),1,nothing is understood.,nothing understood,not interpretable/readable/understandable,(+),1,More individual elements,more elements,more charts/points/lines/shapes/elements,(-),1,Curve lines,curved lines,curved lines,(+),1,Order of words,order of words,order of words,,,,,,(+),1,colors have no meaning,colors lack meaning,unclear meaning/confusing,,,,,
(-),1,can clearly see the data,clearly see,easy to interpret/read/understand,(+),1,more information shown,more information,much/more data/info/info spread,(-),1,one variable,one variable,single variable,(+),1,random names that don't make sense,random meaningless names,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,I don't know what red and green indicate,unclear color meaning,unclear color meaning,,,,,
(+),1,Processing information is not possible,cannot process information,not interpretable/readable/understandable,(+),1,more information to think about,more information to think about,much/more data/info/info spread,(+),1,no data,no data,no data,(-),1,indications,indications,indication,,,,,,(-),1,two colors,two colors,two colors,,,,,
(+),1,read every item to understand,require reading each item,more reading/interpretation/understanding,(+),1,more informations,more information,much/more data/info/info spread,(+),1,nothing visible,nothing visible,nothing visible,(+),1,short cryptic labels,cryptic labels,unclear relation between words,,,,,,(+),1,colors are difficult to tell apart,inseparable colors,lack of color contrast / hard to distinguish colors,,,,,
(+),1,requires more interpretation,requires more interpretation,more reading/interpretation/understanding,(+),1,takes up more space,more space taken,more regions/space,(-),1,more detailed,more forms,more forms,(+),1,Small text,small text,word rotation/small font size,,,,,,(+),1,color scheme of wording,color scheme,unclear colormaps,,,,,
(+),1,requires reading,requires reading,more reading/interpretation/understanding,(+),1,More line crossing each others,overlapping lines,overlapping shapes/colors/lines,(+),1,no difference between scales,no clear indication,no clear indication,(+),1,structure of the letters,letter structure,different font/word sizes/structure,,,,,,(+),1,Totally arbitrary color application.,ambiguous colors,ambiguous/confusing colors,,,,,
(+),1,take more time to understand,take longer to understand,take longer to interpret,(+),1,smaller details,fine details,fine/layered details,(+),1,no way to tell exact points for the numbers,no clear indication,no clear indication,(+),1,words selected,selected words,lack of meaning,,,,,,(+),1,icons,icons,icons,,,,,
(+),1,The line allows for processing,easier to process,easier to process/visualize,(+),1,more messy,messy,messy/mixed up/noisy/intermingled elements,(+),1,wavy,curved lines,curved lines,(+),1,text hard to read,text hard to read,readability,,,,,,(-),1,random colors,ambiguous colors,ambiguous/confusing colors,,,,,
(+),1,unlikely be able to interpret,hard to interpret,hard to interpret/read/understand,(+),1,more objects,more objects,more charts/points/lines/shapes/elements,(+),1,nonlinearity,nonlinearity,nonlinearity,(+),1,text is too small,small text,word rotation/small font size,,,,,,(+),1,What the colors represent,unclear color meaning,unclear color meaning,,,,,
(-),1,more capable of being understood,more understandable,more interpretable/readable/understandable,(+),1,more organized,organized,organized/structured,(+),1,not clearly stated,unclear meaning,unclear meaning,(+),1,Text not easily readable.,hard to read,hard to read,,,,,,(+),1,two different colors,two colors,two colors,,,,,
(+),1,unsure where to start looking,unsure where to start,hard to interpret/read/understand,(+),1,more packed with information,packed with information,many/more data/info,(+),1,nothing is clear,nothing clear,nothing clear,(+),1,text repeating multiple times,repeated text,clear text/scale/information,,,,,,(+),1,arrangement of colors,color arrangement,color variety/arrangement/distribution,,,,,
(+),1,very complex to process,complex to process,complicated to process,(+),1,more physical content,more content,many/more data/info,(+),1,"numbers, sticks and boxes",numbers and shapes,numbers and shapes,(-),1,a few of the words,some text,title/axis/label/descriptions,,,,,,(+),1,color formats,color formats,unclear colormaps,,,,,
(+),1,wasn't clear what is going on,unclear differences,hard to interpret/read/understand,(+),1,more points,more points,more charts/points/lines/shapes/elements,(+),1,Odd shapes,unclear shape meaning,unclear shape meaning,(+),1,there was not any text,no text,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,colors to represent sounds,colors represent sounds,color represents sounds,,,,,
(+),1,without analysis,easy to understand,easy to interpret/read/understand,(+),1,more scattered,scattered,"scattered shapes (e.g., dots, squares, pictures)",(+),1,orange shapes,shapes,shapes and lines,(+),1,Two different axes,two axes,title/axis/label/descriptions,,,,,,(+),1,multiple colors,multiple colors,color variety/arrangement/distribution,,,,,
(-),1,look less important,not to the point,not intuitive/simple data,(+),1,more shapes,more shapes,more charts/points/lines/shapes/elements,(-),1,different visual elements,several elements,several elements,(+),1,an additional key,additional key,with legend,,,,,,(-),1,blue box,blue box,unclear coloring,,,,,
(+),1,I was more confused,confusing,unclear meaning/confusing,(+),1,more types of information,more information types,much/more data/info/info spread,(+),1,points of interest,points of interest,shape point of interest,(+),1,unreadable,unreadable,unreadable,,,,,,(+),1,blurred purple and green boxes,blurred colors,blurry colors/images,,,,,
(+),1,made less sense,dofficult to understand,hard to interpret/read/understand,(+),1,Much more data,more data,much/more data/info/info spread,(+),1,regions,regions,regions,(+),1,wording too small,small text,word rotation/small font size,,,,,,(+),1,less white,less white,less negative space,,,,,
(+),1,quite difficult for me,difficult to understand,hard to interpret/read/understand,(+),1,much more detailed,more detailed,much/more data/info/info spread,(-),1,a line of points,points of increase/decrease,shape increase/decrease point,(+),1,what the labels mean,label meaning,label meaning,,,,,,(-),1,brighter,brighter colors,bright colors,,,,,
(-),1,unsure what the image is about,don't know meaning,unclear meaning/confusing,(+),1,Multiple data points,multiple features,multiple features/elements/graphs,(+),1,Proportions of the numbers don't match size of the circles,mismatched number-circle proportions,mismatched number-circle proportion,(+),1,what visualization is showing,visualization meaning,visualization meaning,,,,,,(+),1,blurring and color overlay,blurred colors,blurry colors/images,,,,,
(+),1,could be difficult,could be difficult,complicated to process,(+),1,multiple elements interacting with each other,intermingled elements,messy/mixed up/noisy/intermingled elements,(+),1,random like movement of datapoints,random-like data movement,random-like movement,(+),1,words are difficult to see,words difficult to see,unclear relation between words,,,,,,(+),1,wide variety of colors and gradients,color variety,color variety/arrangement/distribution,,,,,
(+),1,squint my eyes to understand,require squinting to understand,attention/squinting to understand,(-),1,less elements,fewer elements,little data/info,(+),1,random like shapes,random-like shapes,random-like shapes,(+),1,x-axis is not labeled,x-axis unlabeled,x-axis unlabeled,,,,,,(-),1,Simple colored,simple coloring,lack of color contrast / hard to distinguish colors,,,,,
(+),1,don't understand the design or interest,don't understand,not interpretable/readable/understandable,(+),1,Multiple elements,multiple elements,multiple features/elements/graphs,(+),1,several elements,several elements,several elements,(+),1,x-position,x-position,title/axis/label/descriptions,,,,,,(+),1,different shades of orange,orange shades,color shading,,,,,
(-),1,easier to read,easier to read,easier to interpret/read/understand,(+),1,Multiple facts,more information,much/more data/info/info spread,(+),1,shape hard to read,shape hard to read,understand/read shapes,(+),1,y-position,y-position,title/axis/label/descriptions,,,,,,(-),1,colorful,colorful,unclear colormaps,,,,,
(+),1,seemed more complicated,more complicated,more complicated,(+),1,multiple features,multiple features,multiple features/elements/graphs,(+),1,shape varation,shape varation,shape variety,(+),1,Lack of legend,no legend,lack of/not enough axis labels/legend/annotations/context,,,,,,(+),1,color distribution,color distribution,color variety/arrangement/distribution,,,,,
(+),1,dont understand at all,don't understand,not interpretable/readable/understandable,(+),1,overlapping features,overlapping features,overlapping shapes/colors/lines,(+),1,shapes and lines,shapes and lines,shapes and lines,(+),1,isn't any numbers,no numbers,lack of/not enough axis labels/legend/annotations/context,,,,,,(-),1,only two main colors,two colors,two colors,,,,,
(-),1,easier to see,easier to see,easier to see/tell/visualize,(+),1,multiple graphics,multiple graphics,multiple features/elements/graphs,(+),1,shapes categorized in a certain way,categorized shapes,categorized shapes,(+),1,descriptions are eye catching,eye-catching descriptions,eye-catching description,,,,,,(-),1,dots,dots,unclear colormaps,,,,,
(+),1,no idea the subjetc,no idea,unclear meaning/confusing,(+),1,Multiple images,multiple graphics,multiple features/elements/graphs,(+),1,unable to sort,unable to sort,unable to sort,(+),1,4 or 5 axes,multiple axes,more title/axis/label,,,,,,(+),1,Too dark,too dark,unclear coloring,,,,,
(-),1,stared to understand,understand at a glance,easy to interpret/read/understand,(+),1,Multiple shapes,multiple shapes,multiple points/lines/shapes/elements,(+),1,shapes quite similar,similar shapes,similar shapes,(-),1,3 axes,multiple axes,more title/axis/label,,,,,,(-),1,no idea what the colors represent,unclear color meaning,unclear color meaning,,,,,
(+),1,made me confused,confusing,unclear meaning/confusing,(+),1,multitude of differing information,diverse information,diverse information,(+),1,similar size of the boxes,similar box sizes,similar box sizes,(+),1,text labels,text labels,title/axis/label/descriptions,,,,,,(-),1,distinguished/distinctive colors,distinct colors,color variety/arrangement/distribution,,,,,
