keyword,count,n_vistypes,topics_involved,step1_merge,step1b_criteria,step3_subtopic,removed_at,final_status,merged_into
text ratio,1,1,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
color differentiation,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
text on picture,1,1,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
color hues,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
color intensity,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
striped texture,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
struggled to read,1,1,Aesthetics Uncertainty,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
data intersection,1,1,Data Density / Image Clutter,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
crop production shown,1,1,Visual Encoding Clarity,MERGED (TF-IDF) (sim=0.000),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
dates,1,1,Semantics / Text Legibility,MERGED (TF-IDF) (sim=0.000),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
context/text/description,1,1,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
too many sections,1,1,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
too many numbers,1,1,Data Density / Image Clutter,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
colored bars/charts,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
color superposition/layer,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
color saturation,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
color represents sounds,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
unable to sort,1,1,Visual Encoding Clarity,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
too many subjects,1,1,Semantics / Text Legibility,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
change over time,1,1,Visual Encoding Clarity,MERGED (TF-IDF) (sim=0.000),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
categorized shapes,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
captions,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
clear and concise,1,1,Semantics / Text Legibility,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
clear colored bars/charts,1,1,"Color, Symbol, and Texture Details",MERGED (TF-IDF) (sim=0.000),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
too many subplots,1,1,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
too more points/lines/shapes/elements,1,1,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
unable to remember,1,1,Immediacy / Cognitive Load,MERGED (TF-IDF) (sim=0.042),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
unclear filled bars,1,1,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
clearer coloring,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
clear delineation,1,1,Visual Encoding Clarity,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
unclear shape,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
uneven shape,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
uninterpretable ranking,1,1,Visual Encoding Clarity,MERGED (TF-IDF) (sim=0.000),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
unique,1,1,Schema,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
unclear where to look/what to see,1,1,Immediacy / Cognitive Load,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
unique data point,1,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
word misoriented,1,1,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
ambiguous numbers,1,1,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
word source,1,0,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
almost no explanation,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
words and numbers,1,1,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
x-axis unlabeled,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
y-axis meaning unclear,1,1,Semantics / Text Legibility,MERGED (TF-IDF) (sim=0.151),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
