VisType,topic,original_phrase,image_count,humanCurated_phrase,final_subtopic_phrase
Line,Data Density / Image Clutter,overlapping shapes/colors/lines,3,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Line,Data Density / Image Clutter,fine/layered details,1,much/little data/info,much/little data/info
Line,Data Density / Image Clutter,little data/info,2,much/little data/info,much/little data/info
Line,Data Density / Image Clutter,much/more data/info/info spread,4,much/little data/info,much/little data/info
Line,Data Density / Image Clutter,simple information,1,much/little data/info,much/little data/info
Line,Data Density / Image Clutter,too much data/info,1,much/little data/info,much/little data/info
Line,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Line,Data Density / Image Clutter,many points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Line,Data Density / Image Clutter,more charts/points/lines/shapes/elements,7,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Line,Data Density / Image Clutter,many numbers,1,amount of words/context/numbers,amount of words/context/numbers
Line,Data Density / Image Clutter,more parameters/variables,1,more parameters/variables,
Line,Immediacy / Cognitive Load,unclear meaning/confusing,4,unclear meaning/confusing,unclear meaning/confusing
Line,Immediacy / Cognitive Load,more thinking,1,take longer to interpret,take longer to interpret
Line,Immediacy / Cognitive Load,take longer to interpret,4,take longer to interpret,take longer to interpret
Line,Immediacy / Cognitive Load,shape misunderstanding,1,shapes and lines,shapes and lines
Line,Immediacy / Cognitive Load,easier to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,easy to focus/follow,1,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,easy to identify/extract/find features,1,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,easy to interpret/read/understand,5,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,hard to focus/follow,1,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,hard to interpret/read/understand,4,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,1,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,intuitive,1,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,3,easy/hard to interpret,easy/hard to interpret
Line,Immediacy / Cognitive Load,more interpretable/readable/understandable,1,easy/hard to interpret,easy/hard to interpret
Line,Schema,a specific technique,3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Schema,"domain-specific concepts (e.g., chemical, biology, map)",5,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Schema,familiar representation,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Schema,unfamiliar concepts/patterns,3,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Semantics / Text Legibility,easier to read,1,word rotation/small font size,word rotation/small font size
Line,Semantics / Text Legibility,readability,4,word rotation/small font size,word rotation/small font size
Line,Semantics / Text Legibility,unclear relation between words,1,unclear meaning/confusing,unclear meaning/confusing
Line,Semantics / Text Legibility,axis scales,1,labels/axes/legends,labels/axes/legends
Line,Semantics / Text Legibility,captions,1,labels/axes/legends,labels/axes/legends
Line,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,4,labels/axes/legends,labels/axes/legends
Line,Semantics / Text Legibility,no measurement/metric/axis,2,labels/axes/legends,labels/axes/legends
Line,Semantics / Text Legibility,title/axis/label/descriptions,5,labels/axes/legends,labels/axes/legends
Line,Semantics / Text Legibility,with legend,1,labels/axes/legends,labels/axes/legends
Line,Semantics / Text Legibility,context,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Semantics / Text Legibility,eye-catching description,1,color variety/shading,color variety/shading
Line,Semantics / Text Legibility,amount of words/context/numbers,1,amount of words/context/numbers,amount of words/context/numbers
Line,Semantics / Text Legibility,involves numbers,1,amount of words/context/numbers,amount of words/context/numbers
Line,Semantics / Text Legibility,word/text/sentence,2,amount of words/context/numbers,amount of words/context/numbers
Line,Semantics / Text Legibility,fewer axes,1,2D/3D,2D/3D
Line,Semantics / Text Legibility,-,1,-,
Line,Visual Encoding Clarity,understand/read shapes,1,understand/read shapes,understand/read shapes
Line,Visual Encoding Clarity,clear indication,1,unclear meaning/confusing,unclear meaning/confusing
Line,Visual Encoding Clarity,different clarity,1,unclear meaning/confusing,unclear meaning/confusing
Line,Visual Encoding Clarity,curved lines,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,curves and shapes,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,error bars,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,few lines,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,indistinguishable/unintuitive lines,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,line movement,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,line quantity representation,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,lines,3,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,shape size variation,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,shapes and lines,3,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,size variation,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,smooth lines,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,straight lines,1,shapes and lines,shapes and lines
Line,Visual Encoding Clarity,no detail,1,much/little data/info,much/little data/info
Line,Visual Encoding Clarity,graph,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Visual Encoding Clarity,metric representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Visual Encoding Clarity,plots,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Line,Visual Encoding Clarity,exact value,1,color variety/shading,color variety/shading
Line,Visual Encoding Clarity,clear colors/shapes,1,clear colors/shapes,clear colors/shapes
Line,Visual Encoding Clarity,number of levels,1,2D/3D,2D/3D
Line,Visual Encoding Clarity,design-data relationship,1,design-data relationship,
Line,Visual Encoding Clarity,scale difference,1,scale difference,
Line,Visual Encoding Clarity,shape increase/decrease point,2,shape increase/decrease point,
Line,Visual Encoding Clarity,shape variation,1,shape variation,
Line,Visual Encoding Clarity,simple visual elements,2,simple visual elements,
Node-link,Aesthetics Uncertainty,arbitrary imaging,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Aesthetics Uncertainty,distracting/confusing/unclear,1,distracting/confusing/unclear,distracting/confusing/unclear
Node-link,Aesthetics Uncertainty,feeling strange,1,distracting/confusing/unclear,distracting/confusing/unclear
Node-link,Aesthetics Uncertainty,looks random/messy/lack structure,1,distracting/confusing/unclear,distracting/confusing/unclear
Node-link,Aesthetics Uncertainty,visual clarity/appealing,1,distracting/confusing/unclear,distracting/confusing/unclear
Node-link,"Color, Symbol, and Texture Details",texture details,1,symbols,symbols
Node-link,"Color, Symbol, and Texture Details",appealing colors,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",black color,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",black-to-white/color gradient,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",color dimension,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",color scale/scheme,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",color shading,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,7,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",intense/too many colors,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",similar colors,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",too many colors,2,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",very different colors,1,color variety/shading,color variety/shading
Node-link,"Color, Symbol, and Texture Details",lack of color contrast / hard to distinguish colors,2,color contrast/clarity,color contrast/clarity
Node-link,"Color, Symbol, and Texture Details",low color contrast/separation/segmentation,1,color contrast/clarity,color contrast/clarity
Node-link,"Color, Symbol, and Texture Details",unclear color meaning,2,color contrast/clarity,color contrast/clarity
Node-link,"Color, Symbol, and Texture Details",unclear coloring,1,color contrast/clarity,color contrast/clarity
Node-link,"Color, Symbol, and Texture Details",unclear colormaps,4,color contrast/clarity,color contrast/clarity
Node-link,"Color, Symbol, and Texture Details",bright colors,1,bright colors,
Node-link,"Color, Symbol, and Texture Details",clear color uses,1,distinguishable/full/highly contrast color uses,
Node-link,"Color, Symbol, and Texture Details",distinguishable/full/highly contrast color uses,1,distinguishable/full/highly contrast color uses,
Node-link,"Color, Symbol, and Texture Details",monochrome,2,monochrome,
Node-link,Data Density / Image Clutter,dense/cluttered data/info,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Node-link,Data Density / Image Clutter,dense/cluttered layout,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Node-link,Data Density / Image Clutter,less empty space,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Node-link,Data Density / Image Clutter,messy/mixed up/noisy/intermingled elements,3,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Node-link,Data Density / Image Clutter,overlapping shapes/colors/lines,8,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Node-link,Data Density / Image Clutter,clustered data/info,1,much/little data/info,much/little data/info
Node-link,Data Density / Image Clutter,fine/layered details,1,much/little data/info,much/little data/info
Node-link,Data Density / Image Clutter,little data/info,3,much/little data/info,much/little data/info
Node-link,Data Density / Image Clutter,more detailed/things,5,much/little data/info,much/little data/info
Node-link,Data Density / Image Clutter,much/more data/info/info spread,8,much/little data/info,much/little data/info
Node-link,Data Density / Image Clutter,too much data/info,1,much/little data/info,much/little data/info
Node-link,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,few points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,many points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,more charts/points/lines/shapes/elements,12,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,multiple features/elements/graphs,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,multiple interacting elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,too many details/divisions,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,too many sections,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Node-link,Data Density / Image Clutter,organized/structured,1,2D/3D,2D/3D
Node-link,Data Density / Image Clutter,"scattered shapes (e.g., dots, squares, pictures)",1,"scattered shapes (e.g., dots, squares, pictures)",
Node-link,Immediacy / Cognitive Load,unclear meaning/confusing,5,unclear meaning/confusing,unclear meaning/confusing
Node-link,Immediacy / Cognitive Load,more reading/interpretation/understanding,1,take longer to interpret,take longer to interpret
Node-link,Immediacy / Cognitive Load,multiple interpretation,1,take longer to interpret,take longer to interpret
Node-link,Immediacy / Cognitive Load,take longer to interpret,3,take longer to interpret,take longer to interpret
Node-link,Immediacy / Cognitive Load,complicated to process,1,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,easier to interpret/read/understand,1,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,easier to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,easy to focus/follow,1,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,easy to interpret/read/understand,5,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,hard to compare/discern/distinguish,2,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,hard to focus/follow,2,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,hard to interpret/read/understand,11,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,5,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,hard to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,intuitive,2,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,less intuitive,1,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,more complicated,4,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,2,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,not interpretable/readable/understandable,5,easy/hard to interpret,easy/hard to interpret
Node-link,Immediacy / Cognitive Load,more difficult to focus/follow,1,more difficult to focus/follow,
Node-link,Schema,a specific domain,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,a specific technique,4,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,"a specific technique, e.g., bar, pie, circle",1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,"domain-specific concepts (e.g., chemical, biology, map)",6,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,familiar representation,4,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,no context or reference,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,unfamiliar concepts/patterns,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Schema,abstract shapes or colors,1,abstract shapes or colors,abstract shapes or colors
Node-link,Schema,waterfall-like,1,random-like shapes,
Node-link,Semantics / Text Legibility,small and simple,1,word rotation/small font size,word rotation/small font size
Node-link,Semantics / Text Legibility,text hard to read,1,word rotation/small font size,word rotation/small font size
Node-link,Semantics / Text Legibility,word rotation/small font size,1,word rotation/small font size,word rotation/small font size
Node-link,Semantics / Text Legibility,mixed size,1,shapes and lines,shapes and lines
Node-link,Semantics / Text Legibility,label meaning,1,labels/axes/legends,labels/axes/legends
Node-link,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,5,labels/axes/legends,labels/axes/legends
Node-link,Semantics / Text Legibility,no measurement/metric/axis,1,labels/axes/legends,labels/axes/legends
Node-link,Semantics / Text Legibility,title/axis/label/descriptions,2,labels/axes/legends,labels/axes/legends
Node-link,Semantics / Text Legibility,fast readability,1,easy/hard to interpret,easy/hard to interpret
Node-link,Semantics / Text Legibility,amount of words/context/numbers,3,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,context/text/description,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,involves numbers,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,more text boxes,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,more texts/words,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,text,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,text and imagery,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,text ratio,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,word/text/sentence,3,amount of words/context/numbers,amount of words/context/numbers
Node-link,Semantics / Text Legibility,number distribution,1,2D/3D,2D/3D
Node-link,Semantics / Text Legibility,clear text/scale/information,1,clear text/scale/information,
Node-link,Semantics / Text Legibility,little/less text/numbers/context,1,little/less text/numbers/context,
Node-link,Visual Encoding Clarity,understand/read shapes,1,understand/read shapes,understand/read shapes
Node-link,Visual Encoding Clarity,clear indication,1,unclear meaning/confusing,unclear meaning/confusing
Node-link,Visual Encoding Clarity,confusing connection,3,unclear meaning/confusing,unclear meaning/confusing
Node-link,Visual Encoding Clarity,unclear meaning,2,unclear meaning/confusing,unclear meaning/confusing
Node-link,Visual Encoding Clarity,unclear what data conveys,1,unclear meaning/confusing,unclear meaning/confusing
Node-link,Visual Encoding Clarity,nodes,1,symbols,symbols
Node-link,Visual Encoding Clarity,curves and shapes,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,element sizes,3,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,indistinguishable/unintuitive lines,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,intersecting lines,2,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,lines,5,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,lines and scales,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,number of vertical lines,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,shape size variation,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,shape variety,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,shapes,2,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,shapes and lines,7,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,straight lines,1,shapes and lines,shapes and lines
Node-link,Visual Encoding Clarity,more nuance information,1,much/little data/info,much/little data/info
Node-link,Visual Encoding Clarity,nothing clear,1,easy/hard to interpret,easy/hard to interpret
Node-link,Visual Encoding Clarity,information nuance expressed,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Visual Encoding Clarity,network representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Node-link,Visual Encoding Clarity,clear connection,1,distracting/confusing/unclear,distracting/confusing/unclear
Node-link,Visual Encoding Clarity,random-like movement,1,distracting/confusing/unclear,distracting/confusing/unclear
Node-link,Visual Encoding Clarity,shapes and contrasts,2,color contrast/clarity,color contrast/clarity
Node-link,Visual Encoding Clarity,clear colors/shapes,1,clear colors/shapes,clear colors/shapes
Node-link,Visual Encoding Clarity,numbers and shapes,1,amount of words/context/numbers,amount of words/context/numbers
Node-link,Visual Encoding Clarity,2D/3D,3,2D/3D,2D/3D
Node-link,Visual Encoding Clarity,image layout,1,2D/3D,2D/3D
Node-link,Visual Encoding Clarity,design-data relationship,1,design-data relationship,
Node-link,Visual Encoding Clarity,less organized elements,1,less organized elements,
Node-link,Visual Encoding Clarity,random-like shapes,2,random-like shapes,
Node-link,Visual Encoding Clarity,shape point of interest,2,shape point of interest,
Node-link,Visual Encoding Clarity,shape position,1,shape position,
Point,Aesthetics Uncertainty,unclear colors/contrast,1,unclear colors/contrast,unclear colors/contrast
Point,Aesthetics Uncertainty,convoluted composition,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Point,Aesthetics Uncertainty,less simple,1,easy/hard to interpret,easy/hard to interpret
Point,Aesthetics Uncertainty,distracting/confusing/unclear,2,distracting/confusing/unclear,distracting/confusing/unclear
Point,Aesthetics Uncertainty,less attractive,1,distracting/confusing/unclear,distracting/confusing/unclear
Point,Aesthetics Uncertainty,looks random/messy/lack structure,2,distracting/confusing/unclear,distracting/confusing/unclear
Point,"Color, Symbol, and Texture Details",texture details,1,symbols,symbols
Point,"Color, Symbol, and Texture Details",readable/distinguishable colors,1,easy/hard to interpret,easy/hard to interpret
Point,"Color, Symbol, and Texture Details",amount of / too many colors,4,color variety/shading,color variety/shading
Point,"Color, Symbol, and Texture Details",color variety/arrangement/distribution,10,color variety/shading,color variety/shading
Point,"Color, Symbol, and Texture Details",not simple color-wise,1,color variety/shading,color variety/shading
Point,"Color, Symbol, and Texture Details",too many colors,1,color variety/shading,color variety/shading
Point,"Color, Symbol, and Texture Details",good color contrast/separation/segmentation,1,color contrast/clarity,color contrast/clarity
Point,"Color, Symbol, and Texture Details",low color contrast/separation/segmentation,2,color contrast/clarity,color contrast/clarity
Point,"Color, Symbol, and Texture Details",more contrast,1,color contrast/clarity,color contrast/clarity
Point,"Color, Symbol, and Texture Details",unclear color meaning,1,color contrast/clarity,color contrast/clarity
Point,"Color, Symbol, and Texture Details",unclear colormaps,5,color contrast/clarity,color contrast/clarity
Point,"Color, Symbol, and Texture Details",inadequate/few coloring,1,inadequate/few coloring,
Point,Data Density / Image Clutter,more to read/analyze/understand,1,take longer to interpret,take longer to interpret
Point,Data Density / Image Clutter,concentrated,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Point,Data Density / Image Clutter,dense/cluttered data/info,5,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Point,Data Density / Image Clutter,dense/cluttered layout,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Point,Data Density / Image Clutter,overlapping shapes/colors/lines,2,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Point,Data Density / Image Clutter,fine/layered details,2,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,large dataset,1,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,little data/info,4,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,many measurements,1,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,more detailed/things,7,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,much/more data/info/info spread,10,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,too much data/info,2,much/little data/info,much/little data/info
Point,Data Density / Image Clutter,dense points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,few points/lines/shapes/elements,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,many points/lines/shapes/elements,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,many/more data/info,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,more charts/points/lines/shapes/elements,13,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,multiple features/elements/graphs,2,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,too many points/lines/shapes/elements,3,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,too many subplots,1,more charts/points/lines/shapes/elements,more charts/points/lines/shapes/elements
Point,Data Density / Image Clutter,many numbers,1,amount of words/context/numbers,amount of words/context/numbers
Point,Data Density / Image Clutter,organized/structured,1,2D/3D,2D/3D
Point,Data Density / Image Clutter,more parameters/variables,2,more parameters/variables,
Point,Data Density / Image Clutter,"scattered shapes (e.g., dots, squares, pictures)",1,"scattered shapes (e.g., dots, squares, pictures)",
Point,Immediacy / Cognitive Load,unclear meaning/confusing,1,unclear meaning/confusing,unclear meaning/confusing
Point,Immediacy / Cognitive Load,more effort/reading/detailed analysis,1,take longer to interpret,take longer to interpret
Point,Immediacy / Cognitive Load,more reading/interpretation/understanding,1,take longer to interpret,take longer to interpret
Point,Immediacy / Cognitive Load,more to read/analyze/understand,2,take longer to interpret,take longer to interpret
Point,Immediacy / Cognitive Load,take longer to interpret,4,take longer to interpret,take longer to interpret
Point,Immediacy / Cognitive Load,easier to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,easier to interpret/read/understand,3,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,easier to process/visualize,2,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,easy to interpret/read/understand,3,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,hard to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,hard to focus/follow,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,hard to identify/extract/find features,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,hard to interpret/read/understand,2,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,hard to interpret/read/understand/differentiate,4,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,hard to see/tell/visualize,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,intuitive,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,less intuitive,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,more complicated,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,more difficult,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,more difficult to compare/discern/distinguish,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,more difficult to interpret/read/understand/differentiate,3,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,more interpretable/readable/understandable,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,more intricate,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,not interpretable/readable/understandable,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,unable to remember,1,easy/hard to interpret,easy/hard to interpret
Point,Immediacy / Cognitive Load,not intuitive/simple data,2,distracting/confusing/unclear,distracting/confusing/unclear
Point,Immediacy / Cognitive Load,more difficult to focus/follow,1,more difficult to focus/follow,
Point,Schema,a specific domain,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Schema,a specific technique,2,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Schema,"a specific technique, e.g., bar, pie, circle",1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Schema,"domain-specific concepts (e.g., chemical, biology, map)",6,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Schema,familiar representation,1,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Schema,unfamiliar concepts/patterns,5,"domain-specific concepts (e.g., chemical, biology, map)","domain-specific concepts (e.g., chemical, biology, map)"
Point,Semantics / Text Legibility,detailed inscription,1,word rotation/small font size,word rotation/small font size
Point,Semantics / Text Legibility,different font/word sizes/structure,2,word rotation/small font size,word rotation/small font size
Point,Semantics / Text Legibility,easier to read,1,word rotation/small font size,word rotation/small font size
Point,Semantics / Text Legibility,word rotation/small font size,4,word rotation/small font size,word rotation/small font size
Point,Semantics / Text Legibility,unclear relation between words,2,unclear meaning/confusing,unclear meaning/confusing
Point,Semantics / Text Legibility,y-axis meaning unclear,1,unclear meaning/confusing,unclear meaning/confusing
Point,Semantics / Text Legibility,cluttered labels/annotations,1,overlapping shapes/colors/lines,overlapping shapes/colors/lines
Point,Semantics / Text Legibility,axis meaning,1,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,labeled axis,1,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,lack of legend,1,labels/axes/legends,labels/axes/legends
Point,Semantics / Text Legibility,lack of/not enough axis labels/legend/annotations/context,5,labels/axes/legends,labels/axes/legends
